Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
18.2,223030969,1440,154882.6,102508.0,66599,6387864,353963.6,solve_elasticity_tile_f5ceeea2_cuda_kernel_forward
18.1,221433124,1440,153773.0,116973.0,111884,4431523,291506.4,accumulate_particle_body_contact_force_and_hessian_f80552f3_cuda_kernel_forward
15.8,193471034,48,4030646.5,3409875.0,3189467,33629552,4368306.5,create_soft_face_contacts_3a62d486_cuda_kernel_forward
6.7,82137309,3814,21535.7,4417.0,1088,1813381,104092.6,"void cuBQL::sahBuilder_impl::selectSplits<float, (int)3>(cuBQL::gpuBuilder_impl::BuildState *, cuBQL::sahBuilder_impl::SAHBins<cuBQL::box_t<T1, T2>> *, int, int, cuBQL::gpuBuilder_impl::NodeState *, cuBQL::sahBuilder_impl::TempNode<cuBQL::box_t<T1, T2>> *, cuBQL::BuildConfig)"
5.7,70138491,8,8767311.4,6208.5,1504,70093015,24779327.1,"void memtile_kernel_by_value<(unsigned long long)256>(void *, FillValue<T1>, unsigned long long, unsigned long long)"
4.5,55148082,3814,14459.4,4224.0,3584,1711226,30661.0,"void cuBQL::sahBuilder_impl::binPrims<float, (int)3>(cuBQL::sahBuilder_impl::SAHBins<cuBQL::box_t<T1, T2>> *, int, int, cuBQL::sahBuilder_impl::TempNode<cuBQL::box_t<T1, T2>> *, cuBQL::gpuBuilder_impl::PrimState *, const cuBQL::box_t<T1, T2> *, unsigned int)"
3.5,42693033,480,88943.8,31972.0,31684,7911614,530115.1,update_duals_body_particle_contacts_612d811c_cuda_kernel_forward
2.8,34475178,48,718232.9,518904.5,518328,7853175,1058389.3,create_soft_edge_contacts_dee9bec4_cuda_kernel_forward
2.7,33387506,3814,8753.9,2016.0,1664,1683735,28444.2,"void cuBQL::sahBuilder_impl::clearBins<float, (int)3>(cuBQL::sahBuilder_impl::SAHBins<cuBQL::box_t<T1, T2>> *, int)"
2.6,31491332,460,68459.4,63623.0,32675,1872012,178720.6,_small_cholesky_solve_block__locals__kernel_2d9776e3_cuda_kernel_forward
2.2,26423041,48,550480.0,282079.0,280606,12423722,1751283.3,create_soft_contacts_b26277c8_cuda_kernel_forward
1.8,22026058,312,70596.3,51270.0,28291,1840681,147743.5,_compute_body_jac_row_6eb5882a_cuda_kernel_forward
1.2,14989291,1784,8402.1,992.0,736,6710203,192847.4,"void memtile_value_kernel<int>(T1 *, T1, unsigned long long)"
0.9,11128943,960,11592.6,9361.0,5728,2009915,65167.5,accumulate_body_particle_contacts_per_body_43d37021_cuda_kernel_forward
0.8,10054308,460,21857.2,23074.5,14754,32035,7004.6,_tile_cholesky_solve_block__locals__kernel_413936bd_cuda_kernel_forward
0.8,9990309,960,10406.6,7760.5,6369,1642739,53576.4,solve_rigid_body_28cc7a07_cuda_kernel_forward
0.7,8860965,48,184603.4,90586.0,89578,4550640,643596.2,_harvest_vbd_body_particle_contact_forces_on_proxy_bodies_kernel_d68af8d2_cuda_kernel_forward
0.7,8365434,960,8714.0,8449.0,5632,347910,12380.4,accumulate_body_body_contacts_per_body_6d3065a2_cuda_kernel_forward
0.5,6168061,675,9137.9,2721.0,1152,26371,9014.6,"void cuBQL::sahBuilder_impl::updatePrims<float, (int)3>(cuBQL::gpuBuilder_impl::NodeState *, cuBQL::sahBuilder_impl::TempNode<cuBQL::box_t<T1, T2>> *, cuBQL::gpuBuilder_impl::PrimState *, const cuBQL::box_t<T1, T2> *, int)"
0.5,5761487,312,18466.3,18529.5,12449,25827,5951.2,_compute_body_A_diag_entry_d84c280f_cuda_kernel_forward
0.4,5495812,1488,3693.4,2240.0,2144,381097,14350.8,apply_truncation_ts_94baa11a_cuda_kernel_forward
0.4,4492077,56,80215.7,21138.5,20322,2093252,279270.1,_kinematics_branch_95f8028e_cuda_kernel_forward
0.3,4011668,851,4714.1,2593.0,2432,93066,7395.5,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>)::[lambda(char *, const char *, long long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long long, T3)"
0.3,4007291,98,40890.7,26211.0,2369,1609776,169816.1,eval_articulation_fk_6c60ba16_cuda_kernel_forward
0.3,3895645,64,60869.5,58726.5,29699,1090551,131559.1,_copy_actuator_moment_4af7079d_cuda_kernel_forward
0.3,3779842,480,7874.7,4385.0,4160,387402,25074.1,update_duals_body_body_contacts_7c780c76_cuda_kernel_forward
0.3,3361099,616,5456.3,2560.0,1216,29571,7495.2,_crb_accumulate_073a11b8_cuda_kernel_forward
0.3,3185629,136,23423.7,6944.0,4832,61479,22990.7,"void cuBQL::cuda::refit_run<float, (int)3>(cuBQL::BinaryBVH<T1, T2>, unsigned int *, const cuBQL::box_t<T1, T2> *)"
0.3,3159380,84,37611.7,37652.0,24514,50438,12457.2,_set_unit_vector_f74e5cf9_cuda_kernel_forward
0.2,2723821,68,40056.2,8257.0,8192,95082,42049.6,"void cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::DeviceRadixSortSingleTileKernel<cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::detail::radix::policy_hub<unsigned long long, cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::NullType, unsigned int>::Policy1000, (bool)0, unsigned long long, cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::NullType, unsigned int, cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::detail::identity_decomposer_t>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int, T6)"
0.2,2473841,48,51538.4,41828.5,39972,499094,65979.9,create_narrow_phase_kernel_gjk_mpr__locals__narrow_phase_kernel_gjk_mpr_7ce28e88_cuda_kernel_forward
0.2,2404698,607,3961.6,1153.0,1120,9217,3668.3,"void cuBQL::sahBuilder_impl::closeOpenNodes<float, (int)3>(cuBQL::gpuBuilder_impl::BuildState *, cuBQL::gpuBuilder_impl::NodeState *, cuBQL::sahBuilder_impl::TempNode<cuBQL::box_t<T1, T2>> *, int)"
0.2,2388371,914,2613.1,1185.0,1152,22658,4250.7,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long long) (instance 1)], std::array<char *, (unsigned long long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.2,2219562,616,3603.2,1664.0,1184,19010,4567.9,_subtree_com_acc_350f0560_cuda_kernel_forward
0.2,2150856,92,23378.9,18193.5,6465,342277,48615.9,_linesearch_iterative_kernel__locals__kernel_a5beb2cb_cuda_kernel_forward
0.2,2084548,48,43428.1,34851.5,33924,441872,58737.2,init_body_particle_contacts_3792bb31_cuda_kernel_forward
0.1,1697431,48,35363.1,30979.5,30724,226265,28151.5,build_body_particle_contact_lists_8cacaa6b_cuda_kernel_forward
0.1,1499453,48,31238.6,14338.0,13569,488214,83031.7,compute_shape_aabbs_3132aed6_cuda_kernel_forward
0.1,1479953,971,1524.2,1089.0,1056,13025,1736.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.1,1292495,140,9232.1,7425.0,3617,139727,16955.3,_update_gradient_JTDAJ_dense_tiled__locals__kernel_de7e1632_cuda_kernel_forward
0.1,1245388,528,2358.7,1952.0,1120,21123,2712.5,_cfrc_backward_72237d38_cuda_kernel_forward
0.1,1216839,582,2090.8,1472.0,1440,43684,3089.5,_copy_reset_view_rows_kernel_ebbfec29_cuda_kernel_forward
0.1,1204515,48,25094.1,17697.5,16802,202742,35744.2,ccd_kernel_builder__locals__ccd_kernel_82ea07c5_cuda_kernel_forward
0.1,1141214,140,8151.5,5024.5,4576,321507,27358.4,_update_constraint_efc__locals__kernel_9c16a648_cuda_kernel_forward
0.1,1137626,48,23700.5,18946.0,18274,244666,32576.2,create_narrow_phase_primitive_kernel__locals__narrow_phase_primitive_kernel_81a38a1a_cuda_kernel_forward
0.1,1033684,140,7383.5,6273.0,5472,72967,8216.3,_update_gradient_cholesky__locals__kernel_8033196e_cuda_kernel_forward
0.1,952111,388,2453.9,1600.0,1472,46853,3857.2,_copy_reset_view_rows_kernel_a125248c_cuda_kernel_forward
0.1,827512,64,12929.9,12961.5,8705,17634,4157.3,_compute_actuator_acc0_a0c3fa27_cuda_kernel_forward
0.1,811892,48,16914.4,12129.0,11617,136847,22717.9,_comvel_branch_0f933c58_cuda_kernel_forward
0.1,806810,48,16808.5,8497.0,7841,404941,57215.5,forward_step_80a3fe76_cuda_kernel_forward
0.1,794259,418,1900.1,1184.0,1056,12193,2367.7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.1,778967,291,2676.9,1601.0,1568,65799,5518.7,_copy_reset_view_rows_kernel_619bffca_cuda_kernel_forward
