Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,32394473526,32508512052,1,32394473526.0,32394473526.0,32394473526,32394473526,0.0,24585,24585.0,0.0,1.0
IsaacLab-Env:isaaclab.envs.manager_based_env.ManagerBasedEnv.__init__,PushPop,30884535555,32395506312,1,30884535555.0,30884535555.0,30884535555,30884535555,0.0,24583,24583.0,1.0,7.0
IsaacLab-Scene:isaaclab.scene.interactive_scene.InteractiveScene.__init__,PushPop,20956368782,20998190679,1,20956368782.0,20956368782.0,20956368782,20956368782,0.0,3769,3769.0,2.0,572.0
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,7577048895,9769521266,1,7577048895.0,7577048895.0,7577048895,7577048895,0.0,20732,20732.0,2.0,2553.0
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.step,PushPop,1233697324,1234132997,12,102808110.3,68147794.0,67246369,458164200,112110789.4,10827,902.3,0.0,23.0
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.step,PushPop,1056855682,278502779,48,22017826.7,14231198.5,13706486,356417208,49309274.0,4088,85.2,1.0,77.1
IsaacLab-Env:isaaclab.envs.manager_based_env.ManagerBasedEnv.reset,PushPop,139836070,140188116,1,139836070.0,139836070.0,139836070,139836070,0.0,420,420.0,0.0,10.0
Warp:warp.launch,PushPop,87819204,545648788,5352,16408.7,1920.0,1216,2093252,75319.4,5352,1.0,2.3,0.0
IsaacLab-Managers:isaaclab.managers.observation_manager.ObservationManager.compute,PushPop,81260052,81755187,13,6250773.2,543963.0,517400,74400939,20476802.4,261,20.1,1.0,0.1
IsaacLab-Managers:isaaclab.managers.observation_manager.ObservationManager.__init__,PushPop,77065454,77568079,1,77065454.0,77065454.0,77065454,77065454,0.0,27,27.0,2.0,1.0
Warp:warp.copy,PushPop,69905347,193963474,2010,34778.8,1536.0,352,17399881,487550.5,2010,1.0,2.9,0.0
IsaacLab-Managers:isaaclab.managers.reward_manager.RewardManager.compute,PushPop,55105270,55534408,12,4592105.8,1557082.0,1420603,38123995,10559933.5,866,72.2,1.0,1.0
IsaacLab-Scene:isaaclab.scene.interactive_scene.InteractiveScene.write_data_to_sim,PushPop,47720653,70126160,49,973890.9,573183.0,475411,4524877,846219.7,3871,79.0,1.0,3.0
Warp:warp.zeros,PushPop,42121355,15394876,457,92169.3,768.0,352,14036666,987975.5,457,1.0,3.0,0.0
IsaacLab-Assets:isaaclab_newton.assets.articulation.articulation.Articulation.write_data_to_sim,PushPop,40828864,59699328,49,833242.1,458162.0,397419,4392511,804761.0,3087,63.0,2.0,9.0
IsaacLab-Managers:isaaclab.managers.action_manager.ActionManager.process_action,PushPop,24492077,23879994,12,2041006.4,274318.5,202326,19998980,5672950.5,173,14.4,1.0,0.0
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.forward,PushPop,20881732,23912870,1,20881732.0,20881732.0,20881732,20881732,0.0,30,30.0,1.0,28.0
IsaacLab-Managers:isaaclab.managers.termination_manager.TerminationManager.compute,PushPop,18844902,746067977,12,1570408.5,1402793.0,1261065,3719253,682457.5,480,40.0,1.0,4.0
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.__init__,PushPop,18136887,1531480929,1,18136887.0,18136887.0,18136887,18136887,0.0,5,5.0,2.0,0.0
IsaacLab-Managers:isaaclab.managers.event_manager.EventManager.apply,PushPop,14282516,15890772,1,14282516.0,14282516.0,14282516,14282516,0.0,149,149.0,1.0,26.0
IsaacLab-Managers:isaaclab.managers.command_manager.CommandManager.compute,PushPop,9843757,11082530,12,820313.1,816184.5,750577,957640,63651.8,648,54.0,1.0,2.0
IsaacLab-Managers:isaaclab.managers.action_manager.ActionManager.apply_action,PushPop,7652036,32595551,48,159417.4,47493.0,36644,1300461,223163.2,240,5.0,1.0,2.0
IsaacLab-Managers:isaaclab.managers.reward_manager.RewardManager.reset,PushPop,6628466,6622144,1,6628466.0,6628466.0,6628466,6628466,0.0,43,43.0,1.0,0.0
IsaacLab-Managers:isaaclab.managers.command_manager.CommandManager.reset,PushPop,5290689,4785848,1,5290689.0,5290689.0,5290689,5290689,0.0,63,63.0,1.0,0.0
IsaacLab-Scene:isaaclab.scene.interactive_scene.InteractiveScene.update,PushPop,2716169,10443874,49,55432.0,16994.0,16418,1790755,253494.3,245,5.0,1.0,4.0
IsaacLab-Scene:isaaclab.scene.interactive_scene.InteractiveScene.reset,PushPop,2608732,11093962,1,2608732.0,2608732.0,2608732,2608732,0.0,11,11.0,1.0,6.0
IsaacLab-Managers:isaaclab.managers.action_manager.ActionManager.__init__,PushPop,1711931,3300707,1,1711931.0,1711931.0,1711931,1711931,0.0,16,16.0,2.0,0.0
IsaacLab-Sensors:isaaclab.sensors.sensor_base.SensorBase._update_outdated_buffers,PushPop,1389174,4346183,12,115764.5,75880.0,68103,551484,137338.0,36,3.0,2.0,3.0
IsaacLab-Assets:isaaclab_newton.assets.articulation.articulation.Articulation.update,PushPop,519095,4073816,50,10381.9,5984.0,5569,112076,18328.0,100,2.0,2.0,2.0
IsaacLab-Managers:isaaclab.managers.action_manager.ActionManager.reset,PushPop,336036,395671,1,336036.0,336036.0,336036,336036,0.0,12,12.0,1.0,0.0
CCCL:cub::DeviceSelect::Flagged,PushPop,260061,1090654,42,6191.9,4080.5,3713,31364,5775.8,84,2.0,1.9,0.0
