NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
,,,,0,92,2150856,23378.9,18193.5,6465,342277,48615.9,_linesearch_iterative_kernel__locals__kernel_a5beb2cb_cuda_kernel_forward
,,,,0,92,822233,8937.3,5120.5,4576,321507,33186.0,_update_constraint_efc__locals__kernel_9c16a648_cuda_kernel_forward
,,,,0,92,635912,6912.1,6560.0,5472,72392,6925.9,_update_gradient_cholesky__locals__kernel_8033196e_cuda_kernel_forward
,,,,0,92,612394,6656.5,7328.5,3617,80233,7955.7,_update_gradient_JTDAJ_dense_tiled__locals__kernel_de7e1632_cuda_kernel_forward
,,,,0,92,402308,4372.9,4080.5,3681,37188,3466.7,_update_gradient_JTCJ_dense_f52c2ac2_cuda_kernel_forward
,,,,0,92,270404,2939.2,2784.0,2368,25155,2351.0,mul_m_kernel__locals___mul_m_ff3bc617_cuda_kernel_forward
,,,,0,92,229464,2494.2,2304.0,2080,19267,1771.6,_solve_done_c8485047_cuda_kernel_forward
,,,,0,92,226076,2457.3,2752.0,1600,20483,1985.4,_update_gradient_grad__locals__kernel_230cc1c2_cuda_kernel_forward
,,,,0,92,201208,2187.0,2016.0,1856,16994,1563.9,_update_constraint_init_qfrc_constraint_dense__locals__kernel_4d31aa3f_cuda_kernel_forward
,,,,0,92,144654,1572.3,1440.0,1408,11681,1067.0,_update_gradient_zero_grad_dot__locals__kernel_c1c72bbd_cuda_kernel_forward
,,,,0,92,130093,1414.1,1312.0,1184,10209,978.7,set_conditional_if_handle_kernel
,,2418544,2413424,0,12,25410,2117.5,1248.0,1216,11649,3001.9,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda::uniform_and_transform<float, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::<unnamed>::distribution_nullary_kernel<float, float, float4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::uniform_and_transform<float, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, float) (instance 1)]>(long long, at::PhiloxCudaState, T3, T4)"
,,2418544,2413424,0,12,19873,1656.1,1024.0,1024,8481,2149.4,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (unsigned long long)2>>(int, T2, T3)"
,,2418544,2413424,0,12,19585,1632.1,1024.0,992,8289,2096.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long long)2>>(int, T2, T3)"
