Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
28.9,15536071,120,129467.3,116236.5,112077,499926,66959.3,accumulate_particle_body_contact_force_and_hessian_f80552f3_cuda_kernel_forward
25.4,13665141,120,113876.2,102283.0,66791,476724,50569.7,solve_elasticity_tile_f5ceeea2_cuda_kernel_forward
25.0,13428472,4,3357118.0,3352637.5,3191100,3532097,191445.9,create_soft_face_contacts_3a62d486_cuda_kernel_forward
3.9,2074529,4,518632.3,518600.5,518328,519000,300.6,create_soft_edge_contacts_dee9bec4_cuda_kernel_forward
2.5,1369012,40,34225.3,31924.0,31748,52550,6154.3,update_duals_body_particle_contacts_612d811c_cuda_kernel_forward
2.1,1125596,4,281399.0,281391.0,280959,281855,403.4,create_soft_contacts_b26277c8_cuda_kernel_forward
1.2,667495,80,8343.7,8081.0,5760,12097,2325.5,accumulate_body_particle_contacts_per_body_43d37021_cuda_kernel_forward
1.1,598911,80,7486.4,7344.5,5632,9922,1514.6,accumulate_body_body_contacts_per_body_6d3065a2_cuda_kernel_forward
1.1,586657,80,7333.2,7569.0,6401,8513,648.1,solve_rigid_body_28cc7a07_cuda_kernel_forward
0.7,363655,4,90913.8,91098.0,89897,91562,713.3,_harvest_vbd_body_particle_contact_forces_on_proxy_bodies_kernel_d68af8d2_cuda_kernel_forward
0.5,281464,124,2269.9,2209.0,2145,3521,200.4,apply_truncation_ts_94baa11a_cuda_kernel_forward
0.3,186357,40,4658.9,4305.0,4161,6560,746.9,update_duals_body_body_contacts_7c780c76_cuda_kernel_forward
0.3,175253,66,2655.3,2496.0,2432,3712,296.3,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>)::[lambda(char *, const char *, long long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long long, T3)"
0.3,164851,4,41212.8,41477.0,39972,41925,892.8,create_narrow_phase_kernel_gjk_mpr__locals__narrow_phase_kernel_gjk_mpr_7ce28e88_cuda_kernel_forward
0.3,147882,144,1027.0,992.0,736,2272,226.9,"void memtile_value_kernel<int>(T1 *, T1, unsigned long long)"
0.3,138703,4,34675.8,34643.5,34308,35108,349.2,init_body_particle_contacts_3792bb31_cuda_kernel_forward
0.2,123725,4,30931.3,30931.0,30788,31075,134.1,build_body_particle_contact_lists_8cacaa6b_cuda_kernel_forward
0.2,123470,8,15433.8,17826.0,7009,18658,4860.5,_linesearch_iterative_kernel__locals__kernel_a5beb2cb_cuda_kernel_forward
0.2,116558,8,14569.8,14450.0,2369,26947,12993.0,eval_articulation_fk_6c60ba16_cuda_kernel_forward
0.2,101675,44,2310.8,2560.0,1216,2592,511.9,_crb_accumulate_073a11b8_cuda_kernel_forward
0.2,85327,77,1108.1,1088.0,1056,1345,54.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.2,84135,69,1219.3,1184.0,1152,1664,108.8,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long long) (instance 1)], std::array<char *, (unsigned long long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.2,83113,4,20778.3,20802.0,20386,21123,367.4,_kinematics_branch_95f8028e_cuda_kernel_forward
0.2,82698,44,1879.5,1952.0,1120,1985,237.2,_cfrc_backward_72237d38_cuda_kernel_forward
0.1,80009,12,6667.4,7409.0,3680,8705,2065.8,_update_gradient_JTDAJ_dense_tiled__locals__kernel_de7e1632_cuda_kernel_forward
0.1,75112,4,18778.0,18722.0,18338,19330,486.3,create_narrow_phase_primitive_kernel__locals__narrow_phase_primitive_kernel_81a38a1a_cuda_kernel_forward
0.1,73543,12,6128.6,6241.0,5536,6593,435.9,_update_gradient_cholesky__locals__kernel_8033196e_cuda_kernel_forward
0.1,70984,44,1613.3,1633.0,1184,1824,136.7,_subtree_com_acc_350f0560_cuda_kernel_forward
0.1,70828,48,1475.6,1472.0,1440,1536,20.1,_copy_reset_view_rows_kernel_ebbfec29_cuda_kernel_forward
0.1,70375,4,17593.8,17618.0,17377,17762,160.2,ccd_kernel_builder__locals__ccd_kernel_82ea07c5_cuda_kernel_forward
0.1,59527,12,4960.6,4977.0,4736,5153,163.8,_update_constraint_efc__locals__kernel_9c16a648_cuda_kernel_forward
0.1,56934,4,14233.5,14209.5,14145,14370,95.9,compute_shape_aabbs_3132aed6_cuda_kernel_forward
0.1,53734,32,1679.2,1552.5,1472,2176,220.2,_copy_reset_view_rows_kernel_a125248c_cuda_kernel_forward
0.1,48325,4,12081.3,12065.0,12034,12161,55.1,_comvel_branch_0f933c58_cuda_kernel_forward
0.1,47301,12,3941.8,3936.0,3776,4128,133.7,_update_gradient_JTCJ_dense_f52c2ac2_cuda_kernel_forward
0.1,46245,32,1445.2,1440.0,1408,1505,21.8,_zero_reset_view_rows_kernel_0eae9346_cuda_kernel_forward
0.1,45092,8,5636.5,5601.0,5472,5824,130.9,_small_cholesky_factorize_solve_block__locals__kernel_35b90ab6_cuda_kernel_forward
0.1,41314,24,1721.4,1600.0,1568,2496,285.9,_copy_reset_view_rows_kernel_619bffca_cuda_kernel_forward
0.1,39171,33,1187.0,1184.0,1088,1376,76.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.1,36771,25,1470.8,1377.0,1376,2112,198.0,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,35684,4,8921.0,8929.0,8897,8929,16.0,_equality_joint__locals__kernel_98acb280_cuda_kernel_forward
0.1,33028,4,8257.0,8241.0,7841,8705,364.9,forward_step_80a3fe76_cuda_kernel_forward
0.1,32676,8,4084.5,4080.5,3776,4416,312.8,_tile_cholesky_factorize_solve_block__locals__kernel_86a93633_cuda_kernel_forward
0.1,32197,12,2683.1,2752.5,2433,2849,159.6,mul_m_kernel__locals___mul_m_ff3bc617_cuda_kernel_forward
0.1,28003,4,7000.8,6785.0,6656,7777,523.7,compute_rigid_contact_forces_f0cb57a3_cuda_kernel_forward
0.1,27555,12,2296.3,2496.0,1600,2784,498.6,_update_gradient_grad__locals__kernel_230cc1c2_cuda_kernel_forward
0.0,25985,16,1624.1,1552.0,1472,1952,181.6,_copy_reset_view_rows_kernel_63c01e63_cuda_kernel_forward
0.0,25891,16,1618.2,1616.0,1472,1792,122.0,_scatter_reset_owned_rows_kernel_fe63c89c_cuda_kernel_forward
0.0,25890,8,3236.3,3184.0,2176,4416,1102.0,enforce_kinematic_targets_111b85c6_cuda_kernel_forward
0.0,25443,8,3180.4,3184.0,2944,3425,213.1,_update_vbd_body_input_state_kernel_f9f4a963_cuda_kernel_forward
0.0,25347,4,6336.8,6337.0,6208,6465,104.9,_cacc_branch_ffe1d6c4_cuda_kernel_forward
