ordinal,block,position,variant,milliseconds_per_frame,frames_per_second,device,result_sha256,result_path
1,1,1,baseline,16.990890105565388,58.85506843884822,cuda:0,330aa9ddbf676d87df9f4108e39a513f2806ffaf6bff4bb96ff74eaf89a9d16d,block01_pos1_baseline.json
2,1,2,candidate,14.783295026669899,67.64391823310997,cuda:0,4692083fe6aa35bcf11cb37dd58997ab257816634e9f731495d6bf65bcf40f3a,block01_pos2_candidate.json
3,1,3,candidate,14.772274934997162,67.69438047967066,cuda:0,97db147c90136af4fbcec9966f55ed7713d16e679c60e36afbd39b725515f9e5,block01_pos3_candidate.json
4,1,4,baseline,16.816311795264482,59.46607152476815,cuda:0,53350600d283dd5b10e2df8a5594d51d8bb9d226ee6cda7402d220661199fbc0,block01_pos4_baseline.json
5,2,1,candidate,14.768887932101885,67.70990507866095,cuda:0,18a80cdbb6635ed5c7c4e2e4d26714d1f1e3aa10bf7a50bb2e440e7181d814ac,block02_pos1_candidate.json
6,2,2,baseline,16.768461900452774,59.6357618210051,cuda:0,cee6e1a14ffccdd04e5540a28bb2fbb226f04288e925c4519ab606ebfd6e73ed,block02_pos2_baseline.json
7,2,3,baseline,16.885455263157684,59.22256666551932,cuda:0,a913345a645eb301d1794b63200846f96a4f0d3ebbb10a4718b8ce8b2d336517,block02_pos3_baseline.json
8,2,4,candidate,14.983215058843294,66.74134997547048,cuda:0,c7f07719ff6a0f663a8f53fb2f903cf03ab20f056df6b511591823d5910ddf30,block02_pos4_candidate.json
9,3,1,baseline,16.898439700404804,59.177061180154105,cuda:0,9cfd64d3befad31346c0eabfdbc7d84d34751b00bebc1eb7cb8ce88f6b373113,block03_pos1_baseline.json
10,3,2,candidate,14.888961737354597,67.16385048469306,cuda:0,ea6ccac19a542f453c43336c13a2b05d397a6951fce8029b5108318dd813e3f1,block03_pos2_candidate.json
11,3,3,candidate,14.85879480217894,67.30020929108981,cuda:0,c33149b9a0a3aee9b3535018707f9264db71c7915dec79689b21f70bf5db0fbe,block03_pos3_candidate.json
12,3,4,baseline,16.900937166064978,59.16831653619056,cuda:0,6061dbf7e763d875e5a4117cace83030f2e372be354ed038774a7ae2a1d5643b,block03_pos4_baseline.json
13,4,1,candidate,14.89895200356841,67.11881478378429,cuda:0,1a68feec70c4a5d2d1fd0a24883736cd1752115c47dcba6d3b04b00e53eb330a,block04_pos1_candidate.json
14,4,2,baseline,16.804625187069178,59.50742660832923,cuda:0,ef3f985edb20b3adbe4559c98afbdfcc1550eedbed4d371c72c450e0c7f99e70,block04_pos2_baseline.json
15,4,3,baseline,16.77941856905818,59.596820705339226,cuda:0,5946d40d6275b73fd1cb609742d8e8811cd2928b9c0f08da8f59d6f0b1124a7f,block04_pos3_baseline.json
16,4,4,candidate,14.804292501260838,67.54797636664048,cuda:0,aa3d37f4f253eaf68c0040e7627f305c5a87487ae71871958874f897cacb5bb2,block04_pos4_candidate.json
17,5,1,baseline,16.896733300139505,59.183037468653396,cuda:0,10dbe3dd2cf0c26274f3d0952c771e4cbf668c85db935d19b3255ab98621bd05,block05_pos1_baseline.json
18,5,2,candidate,14.822532702237368,67.46485368516383,cuda:0,3433804e25beb85aab1504a2cd8d91cb7bc0f59e31449bc781d3eab96e4367c0,block05_pos2_candidate.json
19,5,3,candidate,14.727650520702204,67.89949276663857,cuda:0,c9055bf692992a788af2faf90fe51cbd1e41e6484ce7516aa59ed098619b9f9f,block05_pos3_candidate.json
20,5,4,baseline,16.781312320381403,59.59009527434099,cuda:0,48dbb0b4befac6aa37466b7e796073bde30a20d59ab331c0b0fe5cf76b28dfa3,block05_pos4_baseline.json
21,6,1,candidate,14.993049328525862,66.69757286113868,cuda:0,82afd22ab3b6ceb3998112386231a895a2fb6b1518957b0d876760bb6ae9c583,block06_pos1_candidate.json
22,6,2,baseline,17.019493350138266,58.756155628562,cuda:0,aeae8fd8a3a082684861abc1bb11907ba8ec1431c518b17be80c45fcc2329055,block06_pos2_baseline.json
23,6,3,baseline,16.821211359153192,59.4487506665716,cuda:0,beb6633ec304e058309d6253a3336cc4257baad95ba627cf7aa9ddbd6887de2a,block06_pos3_baseline.json
24,6,4,candidate,14.965700668593248,66.81945751451399,cuda:0,f9e9e7ade6b5ad44cc7817321042ae4bf469052df187c18faf40144c5edec798,block06_pos4_candidate.json
25,7,1,baseline,16.92277720818917,59.09195563456842,cuda:0,1e73b30d38c0b30d13925cc4d191d22bb98652bdef9466fbf2d47f3e25a869cb,block07_pos1_baseline.json
26,7,2,candidate,14.954565155009428,66.86921282127842,cuda:0,c47dd312826759b338ddd780bead5ee1432f372d1d284216831abfa6f24fb2ae,block07_pos2_candidate.json
27,7,3,candidate,14.879644786318144,67.20590540706331,cuda:0,9a28fa50a93bb740305c92605c37e8eba00214c4c692fd0dad78fbd8e7da9fc3,block07_pos3_candidate.json
28,7,4,baseline,16.94516244654854,59.01389279414574,cuda:0,61bef703f6f0274c23dbcd06a7f49548c349b7333e0f7586d19534210769d4ba,block07_pos4_baseline.json
29,8,1,candidate,14.89119560768207,67.15377504571359,cuda:0,1682b00c93910974e039b8e4de23520c7bb11896b6c1f2348c8709b17757b532,block08_pos1_candidate.json
30,8,2,baseline,16.862760049601395,59.30227300029915,cuda:0,bef6ba86e334ada35567eb30e7ea79e2b158c960d1b648fe2bb4037073f7356a,block08_pos2_baseline.json
31,8,3,baseline,16.796498000621796,59.53621998841548,cuda:0,23d9d2db5e7de089c5de494c0020d2ee670c0defd5eb26ebd5ca0d441d912069,block08_pos3_baseline.json
32,8,4,candidate,14.761985807369152,67.74156357072245,cuda:0,8377a689f9b54880b6ba182fc5ee1b4176d627446a3b24879cc2ebb912c68922,block08_pos4_candidate.json
