trace,component,count,total_ns,total_ms
baseline,bvh_group_roots,60,770433,0.770433
baseline,bvh_rebuild_native,1140,6836118,6.836118
baseline,bvh_refit,600,11346156,11.346156
baseline,detector,,98431936,98.431936
baseline,detector_plus_force,,186279118,186.279118
baseline,edge_aabb,330,525439,0.525439
baseline,edge_edge_traversal,300,53021116,53.021116
baseline,extended_pipeline,,255488768,255.488768
baseline,force,7500,87847182,87.847182
baseline,legacy_traversal_plus_force,,164754371,164.754371
baseline,planar_truncation,7800,57410069,57.410069
baseline,self_contact_buffer_fill,900,1500969,1.500969
baseline,triangle_aabb,330,545632,0.545632
baseline,truncation_update,7800,11799581,11.799581
baseline,vertex_triangle_traversal,300,23886073,23.886073
candidate,bvh_group_roots,60,771204,0.771204
candidate,bvh_rebuild_native,1140,6843603,6.843603
candidate,bvh_refit,600,11369854,11.369854
candidate,detector,,76801801,76.801801
candidate,detector_plus_force,,133167951,133.167951
candidate,edge_aabb,330,527433,0.527433
candidate,edge_edge_traversal,300,38521513,38.521513
candidate,extended_pipeline,,193834376,193.834376
candidate,force,7500,56366150,56.36615
candidate,legacy_traversal_plus_force,,112834629,112.834629
candidate,planar_truncation,7800,48845961,48.845961
candidate,self_contact_buffer_fill,300,275435,0.275435
candidate,triangle_aabb,330,545793,0.545793
candidate,truncation_update,7800,11820464,11.820464
candidate,vertex_triangle_traversal,300,17946966,17.946966
