ordinal,block,position,pair_id,variant,environment_step_fps,environment_step_fps_std,iteration_time_ms,total_wall_time_s,source_hash,result_path
1,1,1,block_01_pair_1,baseline,15797.272272038088,1553.9197935186912,64.824675,32.4123375,a53d91119d220e621ca58e0929083eb0370af3f6ee3dd9fedfd98b2c0bbc240c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\cloth_final\runs\001_baseline_attempt_02\benchmark_runtime_Isaac-Lift-Cloth-Franka_2026-08-12_13-44-49-683821_854e225e.json
2,1,2,block_01_pair_1,candidate,25238.993550963918,3028.8006203767764,40.5750372,20.2875186,c8c3d597c23c84fd2616fe3ee0190a4c516e51dedb149284dcc4b068a016497f,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\cloth_final\runs\002_candidate\benchmark_runtime_Isaac-Lift-Cloth-Franka_2026-08-12_13-46-57-026258_17cb0d35.json
3,1,3,block_01_pair_2,candidate,24799.8109130667,2957.586751880104,41.293952600000004,20.6469763,c8c3d597c23c84fd2616fe3ee0190a4c516e51dedb149284dcc4b068a016497f,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\cloth_final\runs\003_candidate\benchmark_runtime_Isaac-Lift-Cloth-Franka_2026-08-12_13-48-24-905085_fb8d2b0e.json
4,1,4,block_01_pair_2,baseline,15815.61747868155,1636.7115285862853,64.7494274,32.3747137,a53d91119d220e621ca58e0929083eb0370af3f6ee3dd9fedfd98b2c0bbc240c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\cloth_final\runs\004_baseline\benchmark_runtime_Isaac-Lift-Cloth-Franka_2026-08-12_13-50-09-347720_f08f6710.json
5,2,1,block_02_pair_1,baseline,15829.415589044678,1449.2863331715948,64.6931782,32.3465891,a53d91119d220e621ca58e0929083eb0370af3f6ee3dd9fedfd98b2c0bbc240c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\cloth_final\runs\005_baseline\benchmark_runtime_Isaac-Lift-Cloth-Franka_2026-08-12_13-51-56-066614_b4e53832.json
6,2,2,block_02_pair_1,candidate,25207.155307044075,3075.030173616323,40.6266822,20.3133411,c8c3d597c23c84fd2616fe3ee0190a4c516e51dedb149284dcc4b068a016497f,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\cloth_final\runs\006_candidate\benchmark_runtime_Isaac-Lift-Cloth-Franka_2026-08-12_13-53-37-438527_a55f2be1.json
7,2,3,block_02_pair_2,candidate,25578.206728412224,3118.6388787001497,40.0372434,20.0186217,c8c3d597c23c84fd2616fe3ee0190a4c516e51dedb149284dcc4b068a016497f,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\cloth_final\runs\007_candidate_attempt_03\benchmark_runtime_Isaac-Lift-Cloth-Franka_2026-08-12_14-08-49-990483_9e3a555f.json
8,2,4,block_02_pair_2,baseline,15968.258047149844,1651.5243970722101,64.1306316,32.0653158,a53d91119d220e621ca58e0929083eb0370af3f6ee3dd9fedfd98b2c0bbc240c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\cloth_final\runs\008_baseline\benchmark_runtime_Isaac-Lift-Cloth-Franka_2026-08-12_14-10-15-744838_9bc4555e.json
9,3,1,block_03_pair_1,baseline,15885.119412103646,1493.8779390988518,64.4663628,32.2331814,a53d91119d220e621ca58e0929083eb0370af3f6ee3dd9fedfd98b2c0bbc240c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\cloth_final\runs\009_baseline\benchmark_runtime_Isaac-Lift-Cloth-Franka_2026-08-12_14-11-54-997831_0997f266.json
10,3,2,block_03_pair_1,candidate,24356.54665726758,3317.016884334213,42.0452432,21.0226216,c8c3d597c23c84fd2616fe3ee0190a4c516e51dedb149284dcc4b068a016497f,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\cloth_final\runs\010_candidate\benchmark_runtime_Isaac-Lift-Cloth-Franka_2026-08-12_14-13-45-840561_f2d22adb.json
11,3,3,block_03_pair_2,candidate,25454.25453844884,3144.817436154888,40.2321198,20.1160599,c8c3d597c23c84fd2616fe3ee0190a4c516e51dedb149284dcc4b068a016497f,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\cloth_final\runs\011_candidate\benchmark_runtime_Isaac-Lift-Cloth-Franka_2026-08-12_14-15-48-352025_e0c448c8.json
12,3,4,block_03_pair_2,baseline,15811.997963081129,1566.1702160866837,64.7644198,32.3822099,a53d91119d220e621ca58e0929083eb0370af3f6ee3dd9fedfd98b2c0bbc240c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\cloth_final\runs\012_baseline\benchmark_runtime_Isaac-Lift-Cloth-Franka_2026-08-12_14-17-11-612338_a42bfb3f.json
13,4,1,block_04_pair_1,baseline,15848.163696178073,1685.7519169881907,64.61647280000001,32.3082364,a53d91119d220e621ca58e0929083eb0370af3f6ee3dd9fedfd98b2c0bbc240c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\cloth_final\runs\013_baseline\benchmark_runtime_Isaac-Lift-Cloth-Franka_2026-08-12_14-18-50-663916_adc89e9a.json
14,4,2,block_04_pair_1,candidate,25312.22931487587,3158.317334351468,40.4577394,20.2288697,c8c3d597c23c84fd2616fe3ee0190a4c516e51dedb149284dcc4b068a016497f,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\cloth_final\runs\014_candidate\benchmark_runtime_Isaac-Lift-Cloth-Franka_2026-08-12_14-20-33-586798_eb122f5e.json
15,4,3,block_04_pair_2,candidate,24945.418498616138,3168.4260134144542,41.0524914,20.5262457,c8c3d597c23c84fd2616fe3ee0190a4c516e51dedb149284dcc4b068a016497f,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\cloth_final\runs\015_candidate\benchmark_runtime_Isaac-Lift-Cloth-Franka_2026-08-12_14-22-02-590272_1a17ae0c.json
16,4,4,block_04_pair_2,baseline,16009.316721924553,1443.8735306306364,63.9658528,31.9829264,a53d91119d220e621ca58e0929083eb0370af3f6ee3dd9fedfd98b2c0bbc240c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\cloth_final\runs\016_baseline\benchmark_runtime_Isaac-Lift-Cloth-Franka_2026-08-12_14-23-31-509156_0fb58498.json
