ordinal,block,position,pair_id,variant,environment_step_fps,environment_step_fps_std,iteration_time_ms,total_wall_time_s,source_hash,result_path
1,1,1,block_01_pair_1,baseline,24289.852710033574,3119.74509434763,42.160805,21.0804025,a53d91119d220e621ca58e0929083eb0370af3f6ee3dd9fedfd98b2c0bbc240c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_final\runs\001_baseline\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_14-25-52-889859_7d688530.json
2,1,2,block_01_pair_1,candidate,29951.55055901293,6041.233633870779,34.1915914,17.0957957,c8c3d597c23c84fd2616fe3ee0190a4c516e51dedb149284dcc4b068a016497f,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_final\runs\002_candidate\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_14-27-24-646472_eb5447ef.json
3,1,3,block_01_pair_2,candidate,29985.170459134803,6628.820787731831,34.1536342,17.0768171,c8c3d597c23c84fd2616fe3ee0190a4c516e51dedb149284dcc4b068a016497f,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_final\runs\003_candidate\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_14-28-49-398106_03bb5969.json
4,1,4,block_01_pair_2,baseline,24645.8213753565,2998.3426887473593,41.551460999999996,20.7757305,a53d91119d220e621ca58e0929083eb0370af3f6ee3dd9fedfd98b2c0bbc240c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_final\runs\004_baseline_attempt_02\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_14-31-51-161180_b0175dd0.json
5,2,1,block_02_pair_1,baseline,24368.45136540193,3275.5621016654486,42.0243686,21.0121843,a53d91119d220e621ca58e0929083eb0370af3f6ee3dd9fedfd98b2c0bbc240c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_final\runs\005_baseline\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_14-33-24-978557_4c790947.json
6,2,2,block_02_pair_1,candidate,29908.74380781665,5636.779370008988,34.2407074,17.1203537,c8c3d597c23c84fd2616fe3ee0190a4c516e51dedb149284dcc4b068a016497f,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_final\runs\006_candidate\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_14-34-54-374070_e8e07acc.json
7,2,3,block_02_pair_2,candidate,28776.670788962227,5314.527597036564,35.5884066,17.7942033,c8c3d597c23c84fd2616fe3ee0190a4c516e51dedb149284dcc4b068a016497f,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_final\runs\007_candidate\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_14-36-19-481100_9dd06137.json
8,2,4,block_02_pair_2,baseline,25128.706708164696,3004.6491134119847,40.753339399999994,20.3766697,a53d91119d220e621ca58e0929083eb0370af3f6ee3dd9fedfd98b2c0bbc240c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_final\runs\008_baseline\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_14-37-45-301134_05f0c7cc.json
9,3,1,block_03_pair_1,baseline,25129.101125132438,3187.823428105627,40.7526646,20.3763323,a53d91119d220e621ca58e0929083eb0370af3f6ee3dd9fedfd98b2c0bbc240c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_final\runs\009_baseline\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_14-39-15-674271_0fe05bac.json
10,3,2,block_03_pair_1,candidate,31538.598387358776,6197.137321591991,32.4709806,16.2354903,c8c3d597c23c84fd2616fe3ee0190a4c516e51dedb149284dcc4b068a016497f,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_final\runs\010_candidate\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_14-40-41-360529_5f2154c1.json
11,3,3,block_03_pair_2,candidate,31074.886452395247,6990.210429786059,32.956173,16.4780865,c8c3d597c23c84fd2616fe3ee0190a4c516e51dedb149284dcc4b068a016497f,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_final\runs\011_candidate\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_14-42-04-362960_3da90a5a.json
12,3,4,block_03_pair_2,baseline,24989.965211137533,3129.9127625039014,40.9793136,20.4896568,a53d91119d220e621ca58e0929083eb0370af3f6ee3dd9fedfd98b2c0bbc240c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_final\runs\012_baseline\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_14-43-30-206359_53e31ac6.json
13,4,1,block_04_pair_1,baseline,24506.27736670917,3169.1636901338006,41.7878854,20.8939427,a53d91119d220e621ca58e0929083eb0370af3f6ee3dd9fedfd98b2c0bbc240c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_final\runs\013_baseline\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_14-44-57-787523_459a429a.json
14,4,2,block_04_pair_1,candidate,29293.729050799928,7383.20339381382,34.9614092,17.4807046,c8c3d597c23c84fd2616fe3ee0190a4c516e51dedb149284dcc4b068a016497f,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_final\runs\014_candidate\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_14-46-25-744439_7e446f9a.json
15,4,3,block_04_pair_2,candidate,27183.43018722258,6123.01353161844,37.6764968,18.8382484,c8c3d597c23c84fd2616fe3ee0190a4c516e51dedb149284dcc4b068a016497f,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_final\runs\015_candidate\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_14-47-49-679559_e4751fbd.json
16,4,4,block_04_pair_2,baseline,23248.24644652369,3142.9674676939608,44.0508506,22.0254253,a53d91119d220e621ca58e0929083eb0370af3f6ee3dd9fedfd98b2c0bbc240c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_final\runs\016_baseline\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_14-49-26-573261_624991e1.json
