ordinal,block,position,pair_id,variant,environment_step_fps,environment_step_fps_std,iteration_time_ms,total_wall_time_s,source_hash,result_path
1,1,1,block_01_pair_1,baseline,24092.75994917463,3360.0066119826342,42.5059954,21.2529977,a53d91119d220e621ca58e0929083eb0370af3f6ee3dd9fedfd98b2c0bbc240c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_integrated_final\runs\001_baseline\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_17-13-22-166543_8b5862ef.json
2,1,2,block_01_pair_1,candidate,32910.857131713,6550.438226557295,31.1178208,15.5589104,0ad9f8dd3e457eeb23df760d5b457b4af8c3469c372232d319fdf037b3a14f4c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_integrated_final\runs\002_candidate\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_17-18-50-516935_bbc701ca.json
3,1,3,block_01_pair_2,candidate,32972.46982951391,6492.768325483582,31.0598328,15.5299164,0ad9f8dd3e457eeb23df760d5b457b4af8c3469c372232d319fdf037b3a14f4c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_integrated_final\runs\003_candidate\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_17-20-14-446543_c9705355.json
4,1,4,block_01_pair_2,baseline,24384.402193281723,3039.9935064069114,41.9974994,20.9987497,a53d91119d220e621ca58e0929083eb0370af3f6ee3dd9fedfd98b2c0bbc240c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_integrated_final\runs\004_baseline\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_17-21-37-365286_69a03a83.json
5,2,1,block_02_pair_1,baseline,24923.61763077629,3047.784919517191,41.0886846,20.5443423,a53d91119d220e621ca58e0929083eb0370af3f6ee3dd9fedfd98b2c0bbc240c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_integrated_final\runs\005_baseline\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_17-23-17-298195_96788dc4.json
6,2,2,block_02_pair_1,candidate,33143.86479032861,5933.099511838464,30.8989726,15.4494863,0ad9f8dd3e457eeb23df760d5b457b4af8c3469c372232d319fdf037b3a14f4c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_integrated_final\runs\006_candidate\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_17-24-50-393504_9d60a4f1.json
7,2,3,block_02_pair_2,candidate,32925.867788094285,6577.070537618153,31.1034492,15.5517246,0ad9f8dd3e457eeb23df760d5b457b4af8c3469c372232d319fdf037b3a14f4c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_integrated_final\runs\007_candidate\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_17-26-14-572736_df3cd061.json
8,2,4,block_02_pair_2,baseline,24544.32113559671,3146.926721616471,41.7241624,20.8620812,a53d91119d220e621ca58e0929083eb0370af3f6ee3dd9fedfd98b2c0bbc240c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_integrated_final\runs\008_baseline_attempt_03\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_17-31-15-789010_c470dea9.json
9,3,1,block_03_pair_1,baseline,24792.200563518003,3050.0784971577045,41.306729600000004,20.6533648,a53d91119d220e621ca58e0929083eb0370af3f6ee3dd9fedfd98b2c0bbc240c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_integrated_final\runs\009_baseline\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_17-32-42-836594_3b0e22f5.json
10,3,2,block_03_pair_1,candidate,33102.5141999603,7029.989684883746,30.9376544,15.4688272,0ad9f8dd3e457eeb23df760d5b457b4af8c3469c372232d319fdf037b3a14f4c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_integrated_final\runs\010_candidate\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_17-34-10-023097_0f12ff7f.json
11,3,3,block_03_pair_2,candidate,32924.19639126243,6186.052099963585,31.1049104,15.5524552,0ad9f8dd3e457eeb23df760d5b457b4af8c3469c372232d319fdf037b3a14f4c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_integrated_final\runs\011_candidate\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_17-35-31-080439_f1bada4c.json
12,3,4,block_03_pair_2,baseline,24628.64927434427,3297.542819335402,41.580799199999994,20.7903996,a53d91119d220e621ca58e0929083eb0370af3f6ee3dd9fedfd98b2c0bbc240c,D:\Code\Graphics\newton-working-copies\codex-isaaclab-vbd-profile\profiling\final_abba\volume_integrated_final\runs\012_baseline\benchmark_runtime_Isaac-Lift-Soft-Franka_2026-08-12_17-36-53-496397_dc9b6012.json
