Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
12.4,93082096,1440,64640.3,53990.0,32675,1198146,77260.1,solve_elasticity_tile_two_particles_02446c33_cuda_kernel_forward
12.3,92440378,3814,24237.1,26211.0,1120,50117,14610.1,"void cuBQL::sahBuilder_impl::selectSplits<float, (int)3>(cuBQL::gpuBuilder_impl::BuildState *, cuBQL::sahBuilder_impl::SAHBins<cuBQL::box_t<T1, T2>> *, int, int, cuBQL::gpuBuilder_impl::NodeState *, cuBQL::sahBuilder_impl::TempNode<cuBQL::box_t<T1, T2>> *, cuBQL::BuildConfig)"
11.2,84383944,3814,22124.8,20130.0,3648,43141,8010.5,"void cuBQL::sahBuilder_impl::binPrims<float, (int)3>(cuBQL::sahBuilder_impl::SAHBins<cuBQL::box_t<T1, T2>> *, int, int, cuBQL::sahBuilder_impl::TempNode<cuBQL::box_t<T1, T2>> *, cuBQL::gpuBuilder_impl::PrimState *, const cuBQL::box_t<T1, T2> *, unsigned int)"
10.9,81895885,1440,56872.1,53685.5,37604,672265,55725.3,gather_particle_body_contact_force_and_hessian_a0d50067_cuda_kernel_forward
9.3,70071048,48,1459813.5,1157501.5,1152285,14829413,1971079.4,create_soft_face_contacts_a28c1f93_cuda_kernel_forward
6.9,51710492,3814,13558.1,11841.0,1696,20131,5016.4,"void cuBQL::sahBuilder_impl::clearBins<float, (int)3>(cuBQL::sahBuilder_impl::SAHBins<cuBQL::box_t<T1, T2>> *, int)"
3.9,29504344,460,64139.9,63974.5,63526,95531,2009.8,_small_cholesky_solve_block__locals__kernel_2d9776e3_cuda_kernel_forward
3.1,23374505,312,74918.3,74760.0,55750,92042,9691.6,_compute_body_jac_row_6eb5882a_cuda_kernel_forward
2.7,20513859,48,427372.1,274126.0,273534,7460455,1036758.6,create_soft_edge_contacts_09df4d83_cuda_kernel_forward
1.8,13241723,460,28786.4,28771.0,28611,32516,251.8,_tile_cholesky_solve_block__locals__kernel_413936bd_cuda_kernel_forward
1.6,11876517,8,1484564.6,6224.5,1536,11830433,4180367.4,"void memtile_kernel_by_value<(unsigned long long)256>(void *, FillValue<T1>, unsigned long long, unsigned long long)"
1.3,10107304,48,210568.8,140464.0,139792,3445365,476843.8,create_soft_contacts_b26277c8_cuda_kernel_forward
1.2,9251998,675,13706.7,12865.0,1184,23107,5433.3,"void cuBQL::sahBuilder_impl::updatePrims<float, (int)3>(cuBQL::gpuBuilder_impl::NodeState *, cuBQL::sahBuilder_impl::TempNode<cuBQL::box_t<T1, T2>> *, cuBQL::gpuBuilder_impl::PrimState *, const cuBQL::box_t<T1, T2> *, int)"
1.2,8866177,960,9235.6,9105.0,5761,123917,9886.6,accumulate_body_particle_contacts_per_body_43d37021_cuda_kernel_forward
1.1,7923753,960,8253.9,8321.0,5537,83337,7700.1,accumulate_body_body_contacts_per_body_6d3065a2_cuda_kernel_forward
