Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,38599419739,38710476104,1,38599419739.0,38599419739.0,38599419739,38599419739,0.0,24586,24586.0,0.0,1.0
IsaacLab-Env:isaaclab.envs.manager_based_env.ManagerBasedEnv.__init__,PushPop,36609212651,38600920114,1,36609212651.0,36609212651.0,36609212651,36609212651,0.0,24584,24584.0,1.0,7.0
IsaacLab-Scene:isaaclab.scene.interactive_scene.InteractiveScene.__init__,PushPop,25655885301,25713537152,1,25655885301.0,25655885301.0,25655885301,25655885301,0.0,3769,3769.0,2.0,572.0
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,8436243819,10770294921,1,8436243819.0,8436243819.0,8436243819,8436243819,0.0,20733,20733.0,2.0,2553.0
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.step,PushPop,768377643,768802826,12,64031470.3,39872187.0,38385466,304196213,76077439.3,10827,902.3,0.0,23.0
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.step,PushPop,581248270,306608934,48,12109339.0,7075005.5,6944208,218378703,30424866.3,4088,85.2,1.0,77.1
IsaacLab-Env:isaaclab.envs.manager_based_env.ManagerBasedEnv.reset,PushPop,157744494,158193689,1,157744494.0,157744494.0,157744494,157744494,0.0,420,420.0,0.0,10.0
IsaacLab-Managers:isaaclab.managers.observation_manager.ObservationManager.compute,PushPop,103104919,103047251,13,7931147.6,575518.0,527193,94917311,26137463.5,261,20.1,1.0,0.1
Warp:warp.launch,PushPop,90304233,473773814,5352,16873.0,1920.0,1248,341253,26083.1,5352,1.0,2.3,0.0
IsaacLab-Managers:isaaclab.managers.observation_manager.ObservationManager.__init__,PushPop,81194483,81321609,1,81194483.0,81194483.0,81194483,81194483,0.0,27,27.0,2.0,1.0
Warp:warp.copy,PushPop,76967929,186716348,2010,38292.5,1504.0,352,17286158,486519.2,2010,1.0,2.9,0.0
IsaacLab-Managers:isaaclab.managers.reward_manager.RewardManager.compute,PushPop,67586320,68002361,12,5632193.3,1609070.0,1461726,49134597,13701376.8,866,72.2,1.0,1.0
IsaacLab-Scene:isaaclab.scene.interactive_scene.InteractiveScene.write_data_to_sim,PushPop,40297287,85129782,49,822393.6,504023.0,440111,2325532,565552.5,3871,79.0,1.0,3.0
IsaacLab-Assets:isaaclab_newton.assets.articulation.articulation.Articulation.write_data_to_sim,PushPop,34004062,73445230,49,693960.4,418701.0,365000,1991223,482284.1,3087,63.0,2.0,9.0
IsaacLab-Managers:isaaclab.managers.action_manager.ActionManager.process_action,PushPop,29495991,29803775,12,2457999.3,292015.5,66120,25665081,7311845.7,173,14.4,1.0,0.0
Warp:warp.zeros,PushPop,23932317,20809160,457,52368.3,768.0,352,5979591,523670.4,457,1.0,3.0,0.0
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.forward,PushPop,21072521,23736552,1,21072521.0,21072521.0,21072521,21072521,0.0,30,30.0,1.0,28.0
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.__init__,PushPop,20656282,2015264051,1,20656282.0,20656282.0,20656282,20656282,0.0,5,5.0,2.0,0.0
IsaacLab-Managers:isaaclab.managers.termination_manager.TerminationManager.compute,PushPop,18007710,210586644,12,1500642.5,1125417.5,1006349,4871760,1075071.8,480,40.0,1.0,4.0
IsaacLab-Managers:isaaclab.managers.event_manager.EventManager.apply,PushPop,11077967,11841092,1,11077967.0,11077967.0,11077967,11077967,0.0,149,149.0,1.0,26.0
IsaacLab-Managers:isaaclab.managers.command_manager.CommandManager.compute,PushPop,10360196,11673290,12,863349.7,826074.0,737232,1281962,149372.9,648,54.0,1.0,2.0
IsaacLab-Managers:isaaclab.managers.reward_manager.RewardManager.reset,PushPop,6786846,6774956,1,6786846.0,6786846.0,6786846,6786846,0.0,43,43.0,1.0,0.0
IsaacLab-Managers:isaaclab.managers.command_manager.CommandManager.reset,PushPop,5650371,5404480,1,5650371.0,5650371.0,5650371,5650371,0.0,63,63.0,1.0,0.0
IsaacLab-Managers:isaaclab.managers.action_manager.ActionManager.apply_action,PushPop,4959416,38408534,48,103321.2,37396.0,32964,470355,125316.6,240,5.0,1.0,2.0
IsaacLab-Scene:isaaclab.scene.interactive_scene.InteractiveScene.update,PushPop,3455960,13060303,49,70529.8,17186.0,16546,2587672,367088.5,245,5.0,1.0,4.0
IsaacLab-Managers:isaaclab.managers.action_manager.ActionManager.__init__,PushPop,2154345,4394896,1,2154345.0,2154345.0,2154345,2154345,0.0,16,16.0,2.0,0.0
IsaacLab-Scene:isaaclab.scene.interactive_scene.InteractiveScene.reset,PushPop,1949299,11698977,1,1949299.0,1949299.0,1949299,1949299,0.0,11,11.0,1.0,6.0
IsaacLab-Sensors:isaaclab.sensors.sensor_base.SensorBase._update_outdated_buffers,PushPop,1227045,4787685,12,102253.8,85801.0,68680,251291,50628.3,36,3.0,2.0,3.0
IsaacLab-Assets:isaaclab_newton.assets.articulation.articulation.Articulation.update,PushPop,465230,5238260,50,9304.6,6112.5,5633,98186,14646.3,100,2.0,2.0,2.0
