NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
,,,,0,92,1521215,16534.9,18082.0,6433,208598,20848.5,_linesearch_iterative_kernel__locals__kernel_a5beb2cb_cuda_kernel_forward
,,,,0,92,634959,6901.7,6560.5,5441,72296,6915.9,_update_gradient_cholesky__locals__kernel_8033196e_cuda_kernel_forward
,,,,0,92,611114,6642.5,7361.0,3648,77704,7695.4,_update_gradient_JTDAJ_dense_tiled__locals__kernel_de7e1632_cuda_kernel_forward
,,,,0,92,503102,5468.5,5088.0,4321,45253,4201.8,_update_constraint_efc__locals__kernel_9c16a648_cuda_kernel_forward
,,,,0,92,396188,4306.4,4032.0,3648,36323,3381.6,_update_gradient_JTCJ_dense_f52c2ac2_cuda_kernel_forward
,,,,0,92,268442,2917.8,2784.0,2368,25603,2399.9,mul_m_kernel__locals___mul_m_ff3bc617_cuda_kernel_forward
,,,,0,92,225232,2448.2,2241.0,2048,19299,1779.5,_solve_done_c8485047_cuda_kernel_forward
,,,,0,92,219803,2389.2,2689.0,1568,17666,1707.9,_update_gradient_grad__locals__kernel_230cc1c2_cuda_kernel_forward
,,,,0,92,199280,2166.1,2016.0,1856,16961,1562.4,_update_constraint_init_qfrc_constraint_dense__locals__kernel_4d31aa3f_cuda_kernel_forward
,,,,0,92,143659,1561.5,1440.0,1408,11553,1054.2,_update_gradient_zero_grad_dot__locals__kernel_c1c72bbd_cuda_kernel_forward
,,,,0,92,126638,1376.5,1296.5,1184,10273,940.4,set_conditional_if_handle_kernel
,,2541164,2538084,0,12,25571,2130.9,1248.0,1216,11714,3018.2,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda::uniform_and_transform<float, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::<unnamed>::distribution_nullary_kernel<float, float, float4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::uniform_and_transform<float, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, float) (instance 1)]>(long long, at::PhiloxCudaState, T3, T4)"
,,2541164,2538084,0,12,19842,1653.5,1024.0,992,8512,2160.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (unsigned long long)2>>(int, T2, T3)"
,,2541164,2538084,0,12,19331,1610.9,992.5,992,8225,2083.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long long)2>>(int, T2, T3)"
CCCL:cub::DeviceReduce::Sum,PushPop,2541164,2538084,42,42,77995,1857.0,1568.0,1248,14050,1929.4,"void at_cuda_detail::cub::DeviceReduceSingleTileKernel<at_cuda_detail::cub::DeviceReducePolicy<int, unsigned long long, cuda::std::__4::plus<void>>::Policy600, at_cuda_detail::cub::TransformInputIterator<bool, at::native::<unnamed>::NonZeroOp<bool>, const bool *, long long>, int *, unsigned long long, cuda::std::__4::plus<void>, int, int, cuda::std::__4::__identity>(T2, T3, T4, T5, T6, T8)"
CCCL:cub::DeviceSelect::Flagged,PushPop,2541164,2538084,42,42,87849,2091.6,1696.0,1216,18882,2658.0,"void at_cuda_detail::cub::DeviceSelectSweepKernel<at_cuda_detail::cub::detail::device_select_policy_hub<long long, bool, int, (bool)0, (bool)0>::Policy900, at_cuda_detail::cub::CountingInputIterator<long long, long long>, at_cuda_detail::cub::TransformInputIterator<bool, at::native::<unnamed>::NonZeroOp<bool>, const bool *, long long>, long long *, int *, at_cuda_detail::cub::ScanTileState<int, (bool)1>, at_cuda_detail::cub::NullType, at_cuda_detail::cub::NullType, int, (bool)0, (bool)0>(T2, T3, T4, T5, T6, T7, T8, T9, int, at_cuda_detail::cub::detail::vsmem_t)"
CCCL:cub::DeviceSelect::Flagged,PushPop,2541164,2538084,42,42,42309,1007.4,864.0,832,6944,938.9,"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, (bool)1>, int *>(T1, int, T2)"
IsaacLab-Assets:isaaclab_newton.assets.articulation.articulation.Articulation.reset,PushPop,2541164,2538084,1,2,36932,18466.0,18466.0,17858,19074,859.8,reset_wrench_composer_index_4b6bf2f5_cuda_kernel_forward
IsaacLab-Assets:isaaclab_newton.assets.articulation.articulation.Articulation.update,PushPop,2541164,2538084,50,50,170418,3408.4,2784.0,2624,33092,4284.9,get_body_com_acc_from_body_com_vel_ordered_5ec3c72d_cuda_kernel_forward
IsaacLab-Assets:isaaclab_newton.assets.articulation.articulation.Articulation.update,PushPop,2541164,2538084,50,50,105834,2116.7,1760.0,1600,19138,2457.0,get_joint_acc_from_joint_vel_2ab71688_cuda_kernel_forward
IsaacLab-Assets:isaaclab_newton.assets.articulation.articulation.Articulation.write_data_to_sim,PushPop,2541164,2538084,49,735,2597394,3533.9,2497.0,2432,40228,4443.3,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>)::[lambda(char *, const char *, long long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long long, T3)"
IsaacLab-Assets:isaaclab_newton.assets.articulation.articulation.Articulation.write_data_to_sim,PushPop,2541164,2538084,49,735,1182080,1608.3,1184.0,1152,14593,1943.1,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long long) (instance 1)], std::array<char *, (unsigned long long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
IsaacLab-Assets:isaaclab_newton.assets.articulation.articulation.Articulation.write_data_to_sim,PushPop,2541164,2538084,49,588,856523,1456.7,1089.0,1056,9761,1660.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
IsaacLab-Assets:isaaclab_newton.assets.articulation.articulation.Articulation.write_data_to_sim,PushPop,2541164,2538084,49,294,474448,1613.8,1216.0,1152,12386,1848.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
IsaacLab-Assets:isaaclab_newton.assets.articulation.articulation.Articulation.write_data_to_sim,PushPop,2541164,2538084,49,147,418157,2844.6,2145.0,2048,21058,3349.3,update_actuator_state_model_1a46b940_cuda_kernel_forward
IsaacLab-Assets:isaaclab_newton.assets.articulation.articulation.Articulation.write_data_to_sim,PushPop,2541164,2538084,49,147,358088,2436.0,1856.0,1664,17922,2974.5,update_targets_acac1b6f_cuda_kernel_forward
IsaacLab-Assets:isaaclab_newton.assets.articulation.articulation.Articulation.write_data_to_sim,PushPop,2541164,2538084,49,147,254361,1730.3,1280.0,1248,11937,2056.0,"array_copy_2d_kernel(void *, const void *, wp::vec_t<(unsigned int)2, unsigned long long>, wp::vec_t<(unsigned int)2, unsigned long long>, wp::vec_t<(unsigned int)2, const int *>, wp::vec_t<(unsigned int)2, const int *>, wp::vec_t<(unsigned int)2, unsigned long long>, unsigned long long)"
IsaacLab-Assets:isaaclab_newton.assets.articulation.articulation.Articulation.write_data_to_sim,PushPop,2541164,2538084,49,147,237819,1617.8,1216.0,1184,11041,1920.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_kernel_impl(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, float, float) (instance 1)], std::array<char *, (unsigned long long)4>>(int, T2, T3)"
IsaacLab-Assets:isaaclab_newton.assets.articulation.articulation.Articulation.write_data_to_sim,PushPop,2541164,2538084,49,147,221720,1508.3,1152.0,1088,11073,1692.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long long)2>>(int, T2, T3)"
IsaacLab-Env:isaaclab.envs.manager_based_env.ManagerBasedEnv.__init__,PushPop,2541164,2538084,1,3814,92440378,24237.1,26211.0,1120,50117,14610.1,"void cuBQL::sahBuilder_impl::selectSplits<float, (int)3>(cuBQL::gpuBuilder_impl::BuildState *, cuBQL::sahBuilder_impl::SAHBins<cuBQL::box_t<T1, T2>> *, int, int, cuBQL::gpuBuilder_impl::NodeState *, cuBQL::sahBuilder_impl::TempNode<cuBQL::box_t<T1, T2>> *, cuBQL::BuildConfig)"
IsaacLab-Env:isaaclab.envs.manager_based_env.ManagerBasedEnv.__init__,PushPop,2541164,2538084,1,3814,84383944,22124.8,20130.0,3648,43141,8010.5,"void cuBQL::sahBuilder_impl::binPrims<float, (int)3>(cuBQL::sahBuilder_impl::SAHBins<cuBQL::box_t<T1, T2>> *, int, int, cuBQL::sahBuilder_impl::TempNode<cuBQL::box_t<T1, T2>> *, cuBQL::gpuBuilder_impl::PrimState *, const cuBQL::box_t<T1, T2> *, unsigned int)"
IsaacLab-Env:isaaclab.envs.manager_based_env.ManagerBasedEnv.__init__,PushPop,2541164,2538084,1,3814,51710492,13558.1,11841.0,1696,20131,5016.4,"void cuBQL::sahBuilder_impl::clearBins<float, (int)3>(cuBQL::sahBuilder_impl::SAHBins<cuBQL::box_t<T1, T2>> *, int)"
IsaacLab-Env:isaaclab.envs.manager_based_env.ManagerBasedEnv.__init__,PushPop,2541164,2538084,1,230,14754622,64150.5,63943.0,63623,91306,1919.2,_small_cholesky_solve_block__locals__kernel_2d9776e3_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_env.ManagerBasedEnv.__init__,PushPop,2541164,2538084,1,8,11876517,1484564.6,6224.5,1536,11830433,4180367.4,"void memtile_kernel_by_value<(unsigned long long)256>(void *, FillValue<T1>, unsigned long long, unsigned long long)"
