Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
25.9,6681845,120,55682.0,53958.0,32708,80393,18913.6,solve_elasticity_tile_two_particles_02446c33_cuda_kernel_forward
23.0,5935530,120,49462.8,52806.0,38340,58919,7416.5,gather_particle_body_contact_force_and_hessian_a0d50067_cuda_kernel_forward
17.9,4630646,4,1157661.5,1157549.5,1157085,1158462,609.3,create_soft_face_contacts_a28c1f93_cuda_kernel_forward
4.2,1095734,4,273933.5,273917.5,273629,274270,293.2,create_soft_edge_contacts_09df4d83_cuda_kernel_forward
2.5,651329,80,8141.6,7904.5,5825,11009,2060.3,accumulate_body_particle_contacts_per_body_43d37021_cuda_kernel_forward
2.3,582018,80,7275.2,7233.0,5569,9409,1519.9,accumulate_body_body_contacts_per_body_6d3065a2_cuda_kernel_forward
2.2,562364,4,140591.0,140511.0,140367,140975,267.7,create_soft_contacts_b26277c8_cuda_kernel_forward
2.1,554303,80,6928.8,6993.0,6401,8385,417.8,solve_rigid_body_28cc7a07_cuda_kernel_forward
1.5,381611,40,9540.3,8529.0,8417,18594,3038.7,update_duals_body_particle_contacts_19f80f8b_cuda_kernel_forward
1.2,319778,4,79944.5,79977.0,79656,80168,218.7,_harvest_vbd_body_particle_contact_forces_on_proxy_bodies_kernel_d68af8d2_cuda_kernel_forward
1.1,277950,124,2241.5,2240.0,2144,3169,116.3,apply_truncation_ts_94baa11a_cuda_kernel_forward
0.7,182547,40,4563.7,4385.0,4288,6017,462.7,update_duals_body_body_contacts_7c780c76_cuda_kernel_forward
0.7,174928,66,2650.4,2496.0,2464,3808,304.2,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>)::[lambda(char *, const char *, long long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long long, T3)"
0.6,164626,4,41156.5,41588.5,39012,42437,1486.0,create_narrow_phase_kernel_gjk_mpr__locals__narrow_phase_kernel_gjk_mpr_7ce28e88_cuda_kernel_forward
0.6,150633,148,1017.8,992.0,736,2304,220.0,"void memtile_value_kernel<int>(T1 *, T1, unsigned long long)"
0.6,149104,4,37276.0,37284.0,37156,37380,91.9,init_body_particle_contacts_3792bb31_cuda_kernel_forward
0.5,122732,8,15341.5,17761.5,6817,18562,4874.5,_linesearch_iterative_kernel__locals__kernel_a5beb2cb_cuda_kernel_forward
0.5,122669,4,30667.3,30659.5,30627,30723,47.7,build_body_particle_contact_lists_8cacaa6b_cuda_kernel_forward
0.4,114829,8,14353.6,14274.0,2464,26435,12685.1,eval_articulation_fk_6c60ba16_cuda_kernel_forward
0.4,102058,44,2319.5,2560.0,1216,2593,510.4,_crb_accumulate_073a11b8_cuda_kernel_forward
