Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
18.0,102284638,2880,35515.5,20226.0,19042,792726,55770.3,solve_elasticity_tile_f5ceeea2_cuda_kernel_forward
16.0,91109131,3814,23888.1,29923.0,1120,49766,15590.3,"void cuBQL::sahBuilder_impl::selectSplits<float, (int)3>(cuBQL::gpuBuilder_impl::BuildState *, cuBQL::sahBuilder_impl::SAHBins<cuBQL::box_t<T1, T2>> *, int, int, cuBQL::gpuBuilder_impl::NodeState *, cuBQL::sahBuilder_impl::TempNode<cuBQL::box_t<T1, T2>> *, cuBQL::BuildConfig)"
14.6,83141850,3814,21799.1,22563.0,3616,45093,9232.2,"void cuBQL::sahBuilder_impl::binPrims<float, (int)3>(cuBQL::sahBuilder_impl::SAHBins<cuBQL::box_t<T1, T2>> *, int, int, cuBQL::sahBuilder_impl::TempNode<cuBQL::box_t<T1, T2>> *, cuBQL::gpuBuilder_impl::PrimState *, const cuBQL::box_t<T1, T2> *, unsigned int)"
9.0,50971722,3814,13364.4,13538.0,1696,20131,5782.4,"void cuBQL::sahBuilder_impl::clearBins<float, (int)3>(cuBQL::sahBuilder_impl::SAHBins<cuBQL::box_t<T1, T2>> *, int)"
3.7,20913207,2880,7261.5,4096.0,3840,68200,10782.7,gather_particle_body_contact_force_and_hessian_a0d50067_cuda_kernel_forward
2.4,13742066,960,14314.7,8416.5,7072,306882,22577.4,accumulate_body_particle_contacts_per_body_43d37021_cuda_kernel_forward
2.3,13333192,960,13888.7,7712.0,6944,191253,21436.3,solve_rigid_body_28cc7a07_cuda_kernel_forward
2.3,13173841,960,13722.8,8449.0,6976,98346,19630.9,accumulate_body_body_contacts_per_body_6d3065a2_cuda_kernel_forward
1.7,9397625,48,195783.9,76073.0,74792,1595373,402990.8,create_soft_contacts_b26277c8_cuda_kernel_forward
1.6,9058865,675,13420.5,14337.0,1184,23458,6148.9,"void cuBQL::sahBuilder_impl::updatePrims<float, (int)3>(cuBQL::gpuBuilder_impl::NodeState *, cuBQL::sahBuilder_impl::TempNode<cuBQL::box_t<T1, T2>> *, cuBQL::gpuBuilder_impl::PrimState *, const cuBQL::box_t<T1, T2> *, int)"
