Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,40424969888,40549840457,1,40424969888.0,40424969888.0,40424969888,40424969888,0.0,23722,23722.0,0.0,1.0
IsaacLab-Env:isaaclab.envs.manager_based_env.ManagerBasedEnv.__init__,PushPop,38604653066,40426353433,1,38604653066.0,38604653066.0,38604653066,38604653066,0.0,23720,23720.0,1.0,7.0
IsaacLab-Scene:isaaclab.scene.interactive_scene.InteractiveScene.__init__,PushPop,28216129065,28260553868,1,28216129065.0,28216129065.0,28216129065,28216129065,0.0,3769,3769.0,2.0,572.0
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,7883780806,10214428395,1,7883780806.0,7883780806.0,7883780806,7883780806,0.0,19871,19871.0,2.0,1860.0
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.step,PushPop,612115629,612498154,12,51009635.8,29437237.0,25708866,267976937,68783471.1,9298,774.8,0.0,23.0
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.step,PushPop,441604994,229167564,48,9200104.0,5104217.0,3925962,97619600,15345585.8,3339,69.6,1.0,64.5
IsaacLab-Env:isaaclab.envs.manager_based_env.ManagerBasedEnv.reset,PushPop,150996871,151523335,1,150996871.0,150996871.0,150996871,150996871,0.0,367,367.0,0.0,10.0
IsaacLab-Managers:isaaclab.managers.observation_manager.ObservationManager.compute,PushPop,100009076,100593769,13,7693005.8,565085.0,501015,92411516,25455613.7,261,20.1,1.0,0.1
IsaacLab-Managers:isaaclab.managers.observation_manager.ObservationManager.__init__,PushPop,84944403,85419200,1,84944403.0,84944403.0,84944403,84944403,0.0,27,27.0,2.0,1.0
IsaacLab-Managers:isaaclab.managers.reward_manager.RewardManager.compute,PushPop,57361703,57650156,12,4780141.9,1485185.0,1369813,41130344,11447497.9,854,71.2,1.0,1.0
Warp:warp.copy,PushPop,52303649,123990611,1968,26577.1,1504.0,352,9165473,261261.1,1968,1.0,2.9,0.0
IsaacLab-Scene:isaaclab.scene.interactive_scene.InteractiveScene.write_data_to_sim,PushPop,37608899,72224829,49,767528.6,455633.0,380746,1756766,485794.4,3185,65.0,1.0,3.0
IsaacLab-Assets:isaaclab_newton.assets.articulation.articulation.Articulation.write_data_to_sim,PushPop,35804577,68086082,49,730705.7,447088.0,371433,1641746,444208.4,3087,63.0,2.0,9.0
Warp:warp.launch,PushPop,29137779,396548986,4064,7169.7,1729.0,1216,684298,20062.6,4064,1.0,2.2,0.0
IsaacLab-Managers:isaaclab.managers.action_manager.ActionManager.process_action,PushPop,28841269,29035162,12,2403439.1,289183.0,72712,24928429,7099508.3,173,14.4,1.0,0.0
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.forward,PushPop,21375436,23396871,1,21375436.0,21375436.0,21375436,21375436,0.0,30,30.0,1.0,28.0
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.__init__,PushPop,20322424,1844163406,1,20322424.0,20322424.0,20322424,20322424,0.0,5,5.0,2.0,0.0
IsaacLab-Managers:isaaclab.managers.termination_manager.TerminationManager.compute,PushPop,14808709,181624592,12,1234059.1,971865.5,888385,4187206,931336.8,480,40.0,1.0,4.0
Warp:warp.zeros,PushPop,13408978,13483634,378,35473.5,384.0,352,4871728,338960.9,378,1.0,3.0,0.0
IsaacLab-Managers:isaaclab.managers.event_manager.EventManager.apply,PushPop,10952003,10972482,1,10952003.0,10952003.0,10952003,10952003,0.0,114,114.0,1.0,18.0
IsaacLab-Managers:isaaclab.managers.command_manager.CommandManager.compute,PushPop,10270074,11534443,12,855839.5,860861.5,743121,994060,66403.0,648,54.0,1.0,2.0
IsaacLab-Managers:isaaclab.managers.reward_manager.RewardManager.reset,PushPop,6021164,6029235,1,6021164.0,6021164.0,6021164,6021164,0.0,43,43.0,1.0,0.0
IsaacLab-Managers:isaaclab.managers.action_manager.ActionManager.apply_action,PushPop,5660232,16881325,48,117921.5,38964.5,32643,552092,133464.0,240,5.0,1.0,2.0
IsaacLab-Managers:isaaclab.managers.command_manager.CommandManager.reset,PushPop,5602847,5151240,1,5602847.0,5602847.0,5602847,5602847,0.0,63,63.0,1.0,0.0
IsaacLab-Scene:isaaclab.scene.interactive_scene.InteractiveScene.update,PushPop,3843360,9503813,49,78435.9,9921.0,9089,2981219,423914.1,147,3.0,1.0,2.0
IsaacLab-Managers:isaaclab.managers.action_manager.ActionManager.__init__,PushPop,2059455,4450785,1,2059455.0,2059455.0,2059455,2059455,0.0,16,16.0,2.0,0.0
IsaacLab-Sensors:isaaclab.sensors.sensor_base.SensorBase._update_outdated_buffers,PushPop,885634,3739402,12,73802.8,65303.0,60487,156849,26562.6,36,3.0,2.0,3.0
IsaacLab-Assets:isaaclab_newton.assets.articulation.articulation.Articulation.update,PushPop,778418,4468043,50,15568.4,6417.0,6081,124109,25377.3,100,2.0,2.0,2.0
IsaacLab-Managers:isaaclab.managers.action_manager.ActionManager.reset,PushPop,364423,413775,1,364423.0,364423.0,364423,364423,0.0,12,12.0,1.0,0.0
IsaacLab-Scene:isaaclab.scene.interactive_scene.InteractiveScene.reset,PushPop,360552,9707896,1,360552.0,360552.0,360552,360552,0.0,7,7.0,1.0,2.0
CCCL:cub::DeviceSelect::Flagged,PushPop,287200,1143405,42,6838.1,4224.5,3520,29795,5910.8,84,2.0,1.9,0.0
IsaacLab-Managers:isaaclab.managers.observation_manager.ObservationManager.reset,PushPop,215256,184234,1,215256.0,215256.0,215256,215256,0.0,5,5.0,1.0,0.0
IsaacLab-Managers:isaaclab.managers.termination_manager.TerminationManager.reset,PushPop,206678,712977,1,206678.0,206678.0,206678,206678,0.0,3,3.0,1.0,0.0
IsaacLab-Managers:isaaclab.managers.reward_manager.RewardManager.__init__,PushPop,176820,495127,1,176820.0,176820.0,176820,176820,0.0,8,8.0,2.0,0.0
IsaacLab-Sensors:isaaclab.sensors.sensor_base.SensorBase.update,PushPop,143852,4975932,49,2935.8,1665.0,1664,16065,3891.8,49,1.0,2.0,1.0
CCCL:cub::DeviceReduce::Sum,PushPop,80999,2044718,42,1928.5,1648.5,1216,14082,1923.1,42,1.0,1.9,0.0
IsaacLab-Assets:isaaclab_newton.assets.articulation.articulation.Articulation.reset,PushPop,41509,9231796,1,41509.0,41509.0,41509,41509,0.0,2,2.0,2.0,2.0
