Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
37.7,4858117,240,20242.2,20178.0,19106,32931,1737.5,solve_elasticity_tile_f5ceeea2_cuda_kernel_forward
7.6,974576,240,4060.7,4096.0,3840,4897,146.9,gather_particle_body_contact_force_and_hessian_a0d50067_cuda_kernel_forward
5.0,641413,80,8017.7,8081.0,7072,9729,877.9,accumulate_body_particle_contacts_per_body_43d37021_cuda_kernel_forward
4.9,631042,80,7888.0,7809.0,6976,9249,882.5,accumulate_body_body_contacts_per_body_6d3065a2_cuda_kernel_forward
4.7,610630,80,7632.9,7649.0,7105,9505,472.0,solve_rigid_body_28cc7a07_cuda_kernel_forward
3.5,455619,244,1867.3,1856.0,1824,2016,21.9,apply_truncation_ts_94baa11a_cuda_kernel_forward
2.4,304353,4,76088.3,76120.0,75817,76296,209.4,create_soft_contacts_b26277c8_cuda_kernel_forward
2.3,296930,4,74232.5,74184.5,74184,74377,96.3,create_soft_edge_contacts_09df4d83_cuda_kernel_forward
1.9,251382,268,938.0,928.0,800,2209,158.4,"void memtile_value_kernel<int>(T1 *, T1, unsigned long long)"
1.8,226232,8,28279.0,27731.0,2624,54950,27415.5,eval_articulation_fk_6c60ba16_cuda_kernel_forward
1.7,225656,4,56414.0,56390.0,56358,56518,71.0,create_soft_face_contacts_a28c1f93_cuda_kernel_forward
1.4,186100,66,2819.7,2657.0,2592,3840,293.1,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>)::[lambda(char *, const char *, long long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long long, T3)"
0.9,120429,8,15053.6,18546.0,6977,19298,5437.3,_linesearch_iterative_kernel__locals__kernel_a5beb2cb_cuda_kernel_forward
0.9,111436,44,2532.6,2816.0,1312,2849,578.4,_crb_accumulate_073a11b8_cuda_kernel_forward
0.8,108364,4,27091.0,27107.0,26947,27203,131.9,_kinematics_branch_95f8028e_cuda_kernel_forward
0.8,99178,4,24794.5,24802.5,24770,24803,16.3,_harvest_vbd_body_particle_contact_forces_on_proxy_bodies_kernel_d68af8d2_cuda_kernel_forward
0.7,94314,79,1193.8,1184.0,1152,1376,50.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.7,89865,44,2042.4,2128.5,1184,2177,273.9,_cfrc_backward_72237d38_cuda_kernel_forward
0.7,89863,69,1302.4,1280.0,1248,1697,95.9,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long long) (instance 1)], std::array<char *, (unsigned long long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.6,76517,48,1594.1,1600.0,1568,1664,22.5,_copy_reset_view_rows_kernel_ebbfec29_cuda_kernel_forward
0.6,75622,44,1718.7,1760.0,1280,1825,137.3,_subtree_com_acc_350f0560_cuda_kernel_forward
0.6,74760,4,18690.0,18674.0,18530,18882,145.5,create_narrow_phase_primitive_kernel__locals__narrow_phase_primitive_kernel_81a38a1a_cuda_kernel_forward
0.6,73957,40,1848.9,1792.0,1760,2369,159.9,update_duals_body_body_contacts_7c780c76_cuda_kernel_forward
0.6,71719,4,17929.8,17922.0,17922,17953,15.5,build_body_particle_contact_lists_8cacaa6b_cuda_kernel_forward
0.6,71240,4,17810.0,17858.0,17410,18114,345.1,init_body_particle_contacts_3792bb31_cuda_kernel_forward
0.5,62309,12,5192.4,5153.0,4992,5472,183.5,_update_constraint_efc__locals__kernel_9c16a648_cuda_kernel_forward
0.5,58086,32,1815.2,1664.0,1568,2624,293.6,_copy_reset_view_rows_kernel_a125248c_cuda_kernel_forward
0.4,57447,4,14361.8,14322.0,14178,14625,209.2,compute_shape_aabbs_3132aed6_cuda_kernel_forward
0.4,56101,4,14025.3,13937.5,13857,14369,241.4,_comvel_branch_0f933c58_cuda_kernel_forward
0.4,54375,12,4531.3,4848.5,3552,5153,706.1,_update_gradient_JTDAJ_dense_tiled__locals__kernel_a05bba6c_cuda_kernel_forward
0.4,52197,12,4349.8,4320.5,4000,4705,288.4,_update_gradient_cholesky__locals__kernel_d6d4c322_cuda_kernel_forward
0.4,50689,40,1267.2,1280.0,1248,1312,20.3,update_duals_body_particle_contacts_19f80f8b_cuda_kernel_forward
0.4,50212,32,1569.1,1568.0,1536,1632,23.6,_zero_reset_view_rows_kernel_0eae9346_cuda_kernel_forward
0.3,43717,12,3643.1,3777.0,3264,3872,241.8,_update_gradient_JTCJ_dense_f52c2ac2_cuda_kernel_forward
0.3,42597,24,1774.9,1696.0,1664,2336,223.3,_copy_reset_view_rows_kernel_619bffca_cuda_kernel_forward
0.3,41700,33,1263.6,1280.0,1152,1441,75.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.3,37860,4,9465.0,9425.0,9377,9633,115.0,_cacc_branch_ffe1d6c4_cuda_kernel_forward
0.3,34599,23,1504.3,1472.0,1440,2113,135.2,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.3,33986,8,4248.3,4240.0,4001,4512,240.5,_tile_cholesky_factorize_solve_block__locals__kernel_86a93633_cuda_kernel_forward
