Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
29.9,7762728,240,32344.7,32324.0,32259,32772,68.0,accumulate_particle_body_contact_force_and_hessian_f80552f3_cuda_kernel_forward
22.7,5878047,4,1469511.8,1470352.0,1448445,1488898,18759.5,create_soft_face_contacts_3a62d486_cuda_kernel_forward
17.7,4593046,240,19137.7,18978.0,17986,34052,2060.0,solve_elasticity_tile_f5ceeea2_cuda_kernel_forward
3.0,790966,4,197741.5,197669.5,197589,198038,211.5,create_soft_edge_contacts_dee9bec4_cuda_kernel_forward
2.3,593568,80,7419.6,7536.5,6592,8897,766.2,accumulate_body_particle_contacts_per_body_43d37021_cuda_kernel_forward
2.3,590561,40,14764.0,14769.5,14689,14914,48.3,update_duals_body_particle_contacts_612d811c_cuda_kernel_forward
2.3,588895,80,7361.2,7280.5,6528,8481,809.9,accumulate_body_body_contacts_per_body_6d3065a2_cuda_kernel_forward
2.1,556349,80,6954.4,7041.0,6177,8865,584.9,solve_rigid_body_28cc7a07_cuda_kernel_forward
2.1,554811,4,138702.8,138575.0,137134,140527,1447.1,create_soft_contacts_b26277c8_cuda_kernel_forward
1.6,417841,244,1712.5,1697.0,1664,1792,24.9,apply_truncation_ts_94baa11a_cuda_kernel_forward
0.9,231037,264,875.1,864.0,736,2113,153.2,"void memtile_value_kernel<int>(T1 *, T1, unsigned long long)"
0.8,212918,8,26614.8,26434.5,2496,51206,25776.5,eval_articulation_fk_6c60ba16_cuda_kernel_forward
0.7,174799,66,2648.5,2496.0,2432,3616,287.7,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>)::[lambda(char *, const char *, long long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long long, T3)"
0.4,113259,8,14157.4,17473.5,6496,18210,5160.7,_linesearch_iterative_kernel__locals__kernel_a5beb2cb_cuda_kernel_forward
0.4,104521,44,2375.5,2624.0,1216,2688,541.4,_crb_accumulate_073a11b8_cuda_kernel_forward
0.4,103564,4,25891.0,25875.0,25667,26147,200.7,_kinematics_branch_95f8028e_cuda_kernel_forward
0.4,93514,4,23378.5,23378.5,23362,23395,18.5,_harvest_vbd_body_particle_contact_forces_on_proxy_bodies_kernel_d68af8d2_cuda_kernel_forward
0.3,88716,79,1123.0,1120.0,1088,1409,61.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.3,84394,44,1918.0,1985.0,1120,2049,257.3,_cfrc_backward_72237d38_cuda_kernel_forward
0.3,84336,69,1222.3,1185.0,1152,1601,96.5,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long long) (instance 1)], std::array<char *, (unsigned long long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.3,72456,48,1509.5,1504.0,1472,1568,20.1,_copy_reset_view_rows_kernel_ebbfec29_cuda_kernel_forward
0.3,72200,4,18050.0,17970.0,17954,18306,171.3,create_narrow_phase_primitive_kernel__locals__narrow_phase_primitive_kernel_81a38a1a_cuda_kernel_forward
0.3,70986,44,1613.3,1633.0,1184,1792,133.5,_subtree_com_acc_350f0560_cuda_kernel_forward
0.3,69831,40,1745.8,1696.0,1664,2336,171.0,update_duals_body_body_contacts_7c780c76_cuda_kernel_forward
0.3,67816,4,16954.0,16962.0,16930,16962,16.0,build_body_particle_contact_lists_8cacaa6b_cuda_kernel_forward
0.3,66856,4,16714.0,16770.0,16418,16898,220.7,init_body_particle_contacts_3792bb31_cuda_kernel_forward
0.2,57928,12,4827.3,4849.0,4545,5056,167.0,_update_constraint_efc__locals__kernel_9c16a648_cuda_kernel_forward
0.2,55686,4,13921.5,13938.0,13793,14017,94.3,compute_shape_aabbs_3132aed6_cuda_kernel_forward
0.2,54181,32,1693.2,1568.5,1473,2240,241.2,_copy_reset_view_rows_kernel_a125248c_cuda_kernel_forward
0.2,51591,12,4299.3,4544.5,3361,4993,672.5,_update_gradient_JTDAJ_dense_tiled__locals__kernel_a05bba6c_cuda_kernel_forward
0.2,51558,4,12889.5,12929.5,12417,13282,356.1,_comvel_branch_0f933c58_cuda_kernel_forward
0.2,49031,12,4085.9,4064.5,3745,4417,276.4,_update_gradient_cholesky__locals__kernel_d6d4c322_cuda_kernel_forward
0.2,47461,32,1483.2,1472.0,1440,1505,17.5,_zero_reset_view_rows_kernel_0eae9346_cuda_kernel_forward
0.2,40899,12,3408.3,3536.5,3072,3617,221.9,_update_gradient_JTCJ_dense_f52c2ac2_cuda_kernel_forward
0.2,39907,24,1662.8,1568.0,1568,2144,200.2,_copy_reset_view_rows_kernel_619bffca_cuda_kernel_forward
