Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
32.0,3751959,240,15633.2,15682.0,14722,23170,1063.6,solve_elasticity_tile_tet_only_9010256e_cuda_kernel_forward
7.8,916065,240,3816.9,3808.0,3680,4545,105.4,gather_particle_body_contact_force_and_hessian_97180422_cuda_kernel_forward
5.4,635078,80,7938.5,7969.0,7073,9409,799.0,accumulate_body_particle_contacts_per_body_43d37021_cuda_kernel_forward
5.4,629890,80,7873.6,7712.5,6976,9441,872.6,accumulate_body_body_contacts_per_body_6d3065a2_cuda_kernel_forward
5.1,603489,80,7543.6,7600.5,6945,9217,466.2,solve_rigid_body_28cc7a07_cuda_kernel_forward
3.9,455608,244,1867.2,1857.0,1824,1921,20.4,apply_truncation_ts_94baa11a_cuda_kernel_forward
2.6,305314,4,76328.5,76297.0,76136,76584,202.3,create_soft_contacts_b26277c8_cuda_kernel_forward
2.5,297824,4,74456.0,74440.0,74376,74568,84.7,create_soft_edge_contacts_09df4d83_cuda_kernel_forward
2.1,250741,268,935.6,928.0,768,2240,162.0,"void memtile_value_kernel<int>(T1 *, T1, unsigned long long)"
1.9,226937,8,28367.1,28131.5,2624,54374,27521.2,eval_articulation_fk_6c60ba16_cuda_kernel_forward
1.9,225368,4,56342.0,56310.0,56262,56486,106.1,create_soft_face_contacts_a28c1f93_cuda_kernel_forward
1.6,187896,66,2846.9,2688.5,2656,3905,291.1,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>)::[lambda(char *, const char *, long long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long long, T3)"
1.0,120590,8,15073.8,18578.0,7009,19202,5408.2,_linesearch_iterative_kernel__locals__kernel_a5beb2cb_cuda_kernel_forward
1.0,111853,44,2542.1,2816.0,1344,2849,573.6,_crb_accumulate_073a11b8_cuda_kernel_forward
0.9,107372,4,26843.0,26851.0,26499,27171,316.1,_kinematics_branch_95f8028e_cuda_kernel_forward
0.8,99371,4,24842.8,24835.0,24803,24898,47.6,_harvest_vbd_body_particle_contact_forces_on_proxy_bodies_kernel_d68af8d2_cuda_kernel_forward
0.8,94601,79,1197.5,1184.0,1152,1376,48.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.8,91017,69,1319.1,1280.0,1248,1792,110.3,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long long) (instance 1)], std::array<char *, (unsigned long long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.8,89577,44,2035.8,2112.5,1184,2176,275.2,_cfrc_backward_72237d38_cuda_kernel_forward
0.7,76456,48,1592.8,1600.0,1568,1632,18.9,_copy_reset_view_rows_kernel_ebbfec29_cuda_kernel_forward
0.6,74824,44,1700.5,1728.0,1248,1888,140.6,_subtree_com_acc_350f0560_cuda_kernel_forward
0.6,74280,4,18570.0,18594.0,18370,18722,155.4,create_narrow_phase_primitive_kernel__locals__narrow_phase_primitive_kernel_81a38a1a_cuda_kernel_forward
0.6,73895,40,1847.4,1792.0,1760,2401,171.7,update_duals_body_body_contacts_7c780c76_cuda_kernel_forward
0.6,72008,4,18002.0,18050.0,17794,18114,144.3,build_body_particle_contact_lists_8cacaa6b_cuda_kernel_forward
0.6,71687,4,17921.8,17986.0,17601,18114,223.7,init_body_particle_contacts_3792bb31_cuda_kernel_forward
0.5,62664,12,5222.0,5185.0,4993,5473,170.3,_update_constraint_efc__locals__kernel_9c16a648_cuda_kernel_forward
0.5,57318,4,14329.5,14353.5,14113,14498,160.2,compute_shape_aabbs_3132aed6_cuda_kernel_forward
0.5,57286,32,1790.2,1648.5,1568,2464,252.0,_copy_reset_view_rows_kernel_a125248c_cuda_kernel_forward
0.5,55302,4,13825.5,13841.5,13570,14049,200.2,_comvel_branch_0f933c58_cuda_kernel_forward
0.5,54695,12,4557.9,4864.5,3552,5249,728.7,_update_gradient_JTDAJ_dense_tiled__locals__kernel_a05bba6c_cuda_kernel_forward
0.4,52231,12,4352.6,4352.5,3968,4737,311.0,_update_gradient_cholesky__locals__kernel_d6d4c322_cuda_kernel_forward
0.4,50536,40,1263.4,1249.0,1248,1281,16.1,update_duals_body_particle_contacts_19f80f8b_cuda_kernel_forward
0.4,50214,32,1569.2,1568.0,1536,1632,27.6,_zero_reset_view_rows_kernel_0eae9346_cuda_kernel_forward
0.4,43588,12,3632.3,3760.5,3296,3841,232.2,_update_gradient_JTCJ_dense_f52c2ac2_cuda_kernel_forward
0.4,42148,33,1277.2,1280.0,1152,1409,78.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.4,42082,24,1753.4,1664.0,1664,2208,194.1,_copy_reset_view_rows_kernel_619bffca_cuda_kernel_forward
0.3,37988,4,9497.0,9521.0,9281,9665,159.7,_cacc_branch_ffe1d6c4_cuda_kernel_forward
0.3,34948,23,1519.5,1472.0,1472,2081,125.9,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.3,34213,8,4276.6,4272.5,4001,4577,263.4,_tile_cholesky_factorize_solve_block__locals__kernel_86a93633_cuda_kernel_forward
0.3,32835,12,2736.3,2768.0,2560,2849,120.2,mul_m_kernel__locals___mul_m_ff3bc617_cuda_kernel_forward
0.2,28803,8,3600.4,3584.5,3328,3808,197.8,_update_vbd_body_input_state_kernel_f9f4a963_cuda_kernel_forward
0.2,28515,4,7128.8,7137.0,6784,7457,285.9,forward_step_80a3fe76_cuda_kernel_forward
0.2,28038,16,1752.4,1696.5,1536,2016,170.7,_scatter_reset_owned_rows_kernel_fe63c89c_cuda_kernel_forward
0.2,28035,4,7008.8,7009.0,6945,7072,51.8,_equality_joint__locals__kernel_98acb280_cuda_kernel_forward
0.2,27972,16,1748.3,1664.0,1568,2112,203.2,_copy_reset_view_rows_kernel_63c01e63_cuda_kernel_forward
0.2,27107,12,2258.9,2288.0,2145,2305,64.4,update_actuator_state_model_1a46b940_cuda_kernel_forward
0.2,25890,16,1618.1,1600.0,1600,1665,23.5,_zero_reset_view_rows_kernel_18ddefaa_cuda_kernel_forward
