task,variant,topology,category,total_ns,total_ms,percent,instances
volume,baseline,frozen-44-particle-75-tet,soft_contact_generation,7223824,7.223824,27.8440,12
volume,baseline,frozen-44-particle-75-tet,particle_contact_force_hessian,7762728,7.762728,29.9212,240
volume,baseline,frozen-44-particle-75-tet,elasticity,4593046,4.593046,17.7038,240
volume,baseline,frozen-44-particle-75-tet,duals_and_truncation,1078233,1.078233,4.1560,324
volume,baseline,frozen-44-particle-75-tet,rigid_vbd_excluding_duals,1975219,1.975219,7.6134,288
volume,baseline,frozen-44-particle-75-tet,explicit_proxy_exchange,241784,0.241784,0.9320,80
volume,baseline,frozen-44-particle-75-tet,remainder,3069039,3.069039,11.8295,1459
volume,baseline,frozen-44-particle-75-tet,total,25943873,25.943873,100.0000,2643
volume,candidate,frozen-44-particle-75-tet,soft_contact_generation,826939,0.826939,6.4114,12
volume,candidate,frozen-44-particle-75-tet,particle_contact_force_hessian,979568,0.979568,7.5947,244
volume,candidate,frozen-44-particle-75-tet,elasticity,4858117,4.858117,37.6656,240
volume,candidate,frozen-44-particle-75-tet,duals_and_truncation,580265,0.580265,4.4989,324
volume,candidate,frozen-44-particle-75-tet,rigid_vbd_excluding_duals,2134535,2.134535,16.5493,288
volume,candidate,frozen-44-particle-75-tet,explicit_proxy_exchange,256188,0.256188,1.9863,80
volume,candidate,frozen-44-particle-75-tet,remainder,3262394,3.262394,25.2938,1463
volume,candidate,frozen-44-particle-75-tet,total,12898006,12.898006,100.0000,2651
cloth,baseline,fixed-81-particle,soft_contact_generation,16628597,16.628597,30.9157,12
cloth,baseline,fixed-81-particle,particle_contact_force_hessian,15536071,15.536071,28.8844,120
cloth,baseline,fixed-81-particle,elasticity,13665141,13.665141,25.4060,120
cloth,baseline,fixed-81-particle,duals_and_truncation,1836833,1.836833,3.4150,204
cloth,baseline,fixed-81-particle,rigid_vbd_excluding_duals,2245457,2.245457,4.1747,288
cloth,baseline,fixed-81-particle,explicit_proxy_exchange,523572,0.523572,0.9734,80
cloth,baseline,fixed-81-particle,remainder,3351310,3.351310,6.2307,1376
cloth,baseline,fixed-81-particle,total,53786981,53.786981,100.0000,2200
cloth,candidate,fixed-81-particle,soft_contact_generation,6288744,6.288744,24.3409,12
cloth,candidate,fixed-81-particle,particle_contact_force_hessian,6016787,6.016787,23.2883,124
cloth,candidate,fixed-81-particle,elasticity,6681845,6.681845,25.8624,120
cloth,candidate,fixed-81-particle,duals_and_truncation,842108,0.842108,3.2594,204
cloth,candidate,fixed-81-particle,rigid_vbd_excluding_duals,2185581,2.185581,8.4594,288
cloth,candidate,fixed-81-particle,explicit_proxy_exchange,478767,0.478767,1.8531,80
cloth,candidate,fixed-81-particle,remainder,3342298,3.342298,12.9365,1380
cloth,candidate,fixed-81-particle,total,25836130,25.836130,100.0000,2208
