Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
19.3,143338647,2880,49770.4,34883.0,34691,5247448,148343.8,accumulate_particle_body_contact_force_and_hessian_f80552f3_cuda_kernel_forward
14.3,106241931,48,2213373.6,1551816.0,1544583,30640149,4192905.4,create_soft_face_contacts_3a62d486_cuda_kernel_forward
12.2,90750445,2880,31510.6,21187.0,18754,3468504,125447.5,solve_elasticity_tile_f5ceeea2_cuda_kernel_forward
10.3,76232468,3814,19987.5,6785.0,1089,2208080,62618.6,"void cuBQL::sahBuilder_impl::selectSplits<float, (int)3>(cuBQL::gpuBuilder_impl::BuildState *, cuBQL::sahBuilder_impl::SAHBins<cuBQL::box_t<T1, T2>> *, int, int, cuBQL::gpuBuilder_impl::NodeState *, cuBQL::sahBuilder_impl::TempNode<cuBQL::box_t<T1, T2>> *, cuBQL::BuildConfig)"
9.0,66469433,3814,17427.7,20834.0,3585,1368340,40075.1,"void cuBQL::sahBuilder_impl::binPrims<float, (int)3>(cuBQL::sahBuilder_impl::SAHBins<cuBQL::box_t<T1, T2>> *, int, int, cuBQL::sahBuilder_impl::TempNode<cuBQL::box_t<T1, T2>> *, cuBQL::gpuBuilder_impl::PrimState *, const cuBQL::box_t<T1, T2> *, unsigned int)"
5.3,39593570,3814,10381.1,14850.0,1664,1348626,31285.9,"void cuBQL::sahBuilder_impl::clearBins<float, (int)3>(cuBQL::sahBuilder_impl::SAHBins<cuBQL::box_t<T1, T2>> *, int)"
2.2,16274566,48,339053.5,151584.0,146768,9114842,1293631.0,create_soft_contacts_b26277c8_cuda_kernel_forward
2.1,15320540,8,1915067.5,3312.5,1504,15282231,5401154.1,"void memtile_kernel_by_value<(unsigned long long)256>(void *, FillValue<T1>, unsigned long long, unsigned long long)"
1.9,13760947,48,286686.4,222344.0,221432,2915995,389477.0,create_soft_edge_contacts_dee9bec4_cuda_kernel_forward
1.6,12006420,480,25013.4,15906.0,15746,3027015,138653.7,update_duals_body_particle_contacts_612d811c_cuda_kernel_forward
1.6,11939627,960,12437.1,7873.0,6496,1986807,78879.7,accumulate_body_body_contacts_per_body_6d3065a2_cuda_kernel_forward
1.5,11299870,3224,3504.9,864.0,736,4470756,96144.6,"void memtile_value_kernel<int>(T1 *, T1, unsigned long long)"
1.5,10778550,960,11227.7,7937.0,6560,1944434,63388.9,accumulate_body_particle_contacts_per_body_43d37021_cuda_kernel_forward
1.1,8407411,960,8757.7,7137.0,6208,113260,11357.0,solve_rigid_body_28cc7a07_cuda_kernel_forward
1.0,7543054,182,41445.4,28627.0,22402,2134535,165531.0,_tile_cholesky_solve_block__locals__kernel_413936bd_cuda_kernel_forward
1.0,7235043,675,10718.6,14337.0,1152,26051,7782.2,"void cuBQL::sahBuilder_impl::updatePrims<float, (int)3>(cuBQL::gpuBuilder_impl::NodeState *, cuBQL::sahBuilder_impl::TempNode<cuBQL::box_t<T1, T2>> *, cuBQL::gpuBuilder_impl::PrimState *, const cuBQL::box_t<T1, T2> *, int)"
0.8,6245714,2928,2133.1,1760.0,1696,82089,3000.1,apply_truncation_ts_94baa11a_cuda_kernel_forward
0.8,6050674,98,61741.6,49957.5,2368,2023835,221468.4,eval_articulation_fk_6c60ba16_cuda_kernel_forward
0.7,5233333,132,39646.5,38324.0,21442,61287,10067.2,_compute_body_jac_row_6eb5882a_cuda_kernel_forward
0.5,3856162,844,4568.9,2529.0,2400,47717,6686.8,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>)::[lambda(char *, const char *, long long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long long, T3)"
0.5,3793209,136,27891.2,36356.0,5824,61350,19147.0,"void cuBQL::cuda::refit_run<float, (int)3>(cuBQL::BinaryBVH<T1, T2>, unsigned int *, const cuBQL::box_t<T1, T2> *)"
0.4,3221056,68,47368.5,69975.5,8193,95083,34998.9,"void cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::DeviceRadixSortSingleTileKernel<cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::detail::radix::policy_hub<unsigned long long, cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::NullType, unsigned int>::Policy1000, (bool)0, unsigned long long, cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::NullType, unsigned int, cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::detail::identity_decomposer_t>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int, T6)"
0.4,2826316,572,4941.1,2624.0,1216,53894,7588.8,_crb_accumulate_073a11b8_cuda_kernel_forward
0.4,2791396,607,4598.7,6497.0,1120,9281,3079.3,"void cuBQL::sahBuilder_impl::closeOpenNodes<float, (int)3>(cuBQL::gpuBuilder_impl::BuildState *, cuBQL::gpuBuilder_impl::NodeState *, cuBQL::sahBuilder_impl::TempNode<cuBQL::box_t<T1, T2>> *, int)"
0.4,2777450,52,53412.5,25762.5,24770,299776,77895.1,_kinematics_branch_95f8028e_cuda_kernel_forward
