Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,38079560250,38188257205,1,38079560250.0,38079560250.0,38079560250,38079560250,0.0,23721,23721.0,0.0,1.0
IsaacLab-Env:isaaclab.envs.manager_based_env.ManagerBasedEnv.__init__,PushPop,36526901822,38080651614,1,36526901822.0,36526901822.0,36526901822,36526901822,0.0,23719,23719.0,1.0,7.0
IsaacLab-Scene:isaaclab.scene.interactive_scene.InteractiveScene.__init__,PushPop,25506533377,25545817094,1,25506533377.0,25506533377.0,25506533377,25506533377,0.0,3769,3769.0,2.0,572.0
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,7417511583,10815057539,1,7417511583.0,7417511583.0,7417511583,7417511583,0.0,19870,19870.0,2.0,1860.0
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.step,PushPop,787304942,787542609,12,65608745.2,41823743.5,41057629,302038873,74765721.7,9298,774.8,0.0,23.0
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.step,PushPop,590857433,210376876,48,12309529.9,8063576.5,7302870,191980495,26517653.3,3339,69.6,1.0,64.5
IsaacLab-Env:isaaclab.envs.manager_based_env.ManagerBasedEnv.reset,PushPop,459084673,459483730,1,459084673.0,459084673.0,459084673,459084673,0.0,367,367.0,0.0,10.0
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.forward,PushPop,245261751,271301281,1,245261751.0,245261751.0,245261751,245261751,0.0,30,30.0,1.0,28.0
IsaacLab-Managers:isaaclab.managers.observation_manager.ObservationManager.compute,PushPop,85093083,88494004,13,6545621.8,543451.0,517208,77594287,21348655.2,261,20.1,1.0,0.1
IsaacLab-Managers:isaaclab.managers.observation_manager.ObservationManager.__init__,PushPop,80380317,80009160,1,80380317.0,80380317.0,80380317,80380317,0.0,27,27.0,2.0,1.0
Warp:warp.copy,PushPop,55088467,129639843,1968,27992.1,1504.0,352,10020957,280610.1,1968,1.0,2.9,0.0
IsaacLab-Managers:isaaclab.managers.reward_manager.RewardManager.compute,PushPop,51729087,52252887,12,4310757.3,1453277.5,1253896,35061620,9685747.4,854,71.2,1.0,1.0
IsaacLab-Managers:isaaclab.managers.termination_manager.TerminationManager.compute,PushPop,47788599,388503441,12,3982383.3,1225748.5,1087286,34131919,9495367.5,480,40.0,1.0,4.0
Warp:warp.zeros,PushPop,43305784,14007101,378,114565.6,384.0,352,26265693,1438273.1,378,1.0,3.0,0.0
IsaacLab-Managers:isaaclab.managers.event_manager.EventManager.apply,PushPop,42551391,42580579,1,42551391.0,42551391.0,42551391,42551391,0.0,114,114.0,1.0,18.0
IsaacLab-Scene:isaaclab.scene.interactive_scene.InteractiveScene.write_data_to_sim,PushPop,38656789,68403700,49,788914.1,466322.0,386474,3912392,638869.4,3185,65.0,1.0,3.0
IsaacLab-Assets:isaaclab_newton.assets.articulation.articulation.Articulation.write_data_to_sim,PushPop,36893656,64414273,49,752931.8,458354.0,377769,3870211,606859.5,3087,63.0,2.0,9.0
IsaacLab-Scene:isaaclab.scene.interactive_scene.InteractiveScene.update,PushPop,29243067,35301032,49,596797.3,9153.0,8705,28711300,4100047.2,147,3.0,1.0,2.0
Warp:warp.launch,PushPop,28251661,1398404072,4064,6951.7,1632.0,1184,2023835,46763.3,4064,1.0,2.2,0.0
IsaacLab-Managers:isaaclab.managers.action_manager.ActionManager.process_action,PushPop,25079034,25406259,12,2089919.5,270525.5,199125,21421551,6091876.8,173,14.4,1.0,0.0
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.__init__,PushPop,20498633,1576718173,1,20498633.0,20498633.0,20498633,20498633,0.0,5,5.0,2.0,0.0
IsaacLab-Managers:isaaclab.managers.command_manager.CommandManager.compute,PushPop,9744897,10971223,12,812074.8,785077.0,758418,1019119,78233.3,648,54.0,1.0,2.0
IsaacLab-Managers:isaaclab.managers.reward_manager.RewardManager.reset,PushPop,7812014,7803055,1,7812014.0,7812014.0,7812014,7812014,0.0,43,43.0,1.0,0.0
IsaacLab-Managers:isaaclab.managers.action_manager.ActionManager.apply_action,PushPop,6648205,16803563,48,138504.3,46757.5,33156,554364,156321.7,240,5.0,1.0,2.0
IsaacLab-Managers:isaaclab.managers.command_manager.CommandManager.reset,PushPop,6336622,5879308,1,6336622.0,6336622.0,6336622,6336622,0.0,63,63.0,1.0,0.0
IsaacLab-Managers:isaaclab.managers.action_manager.ActionManager.__init__,PushPop,2024731,12954660,1,2024731.0,2024731.0,2024731,2024731,0.0,16,16.0,2.0,0.0
IsaacLab-Scene:isaaclab.scene.interactive_scene.InteractiveScene.reset,PushPop,1516004,47707597,1,1516004.0,1516004.0,1516004,1516004,0.0,7,7.0,1.0,2.0
IsaacLab-Sensors:isaaclab.sensors.sensor_base.SensorBase._update_outdated_buffers,PushPop,1181855,34268495,12,98487.9,70359.5,66759,291392,69631.0,36,3.0,2.0,3.0
IsaacLab-Assets:isaaclab_newton.assets.articulation.articulation.Articulation.update,PushPop,570394,4551813,50,11407.9,6112.5,5824,145103,22538.9,100,2.0,2.0,2.0
CCCL:cub::DeviceSelect::Flagged,PushPop,485978,1111690,42,11570.9,4048.5,3584,219064,33396.4,84,2.0,1.9,0.0
IsaacLab-Managers:isaaclab.managers.action_manager.ActionManager.reset,PushPop,341893,385260,1,341893.0,341893.0,341893,341893,0.0,12,12.0,1.0,0.0
IsaacLab-Managers:isaaclab.managers.termination_manager.TerminationManager.reset,PushPop,225816,736193,1,225816.0,225816.0,225816,225816,0.0,3,3.0,1.0,0.0
IsaacLab-Managers:isaaclab.managers.observation_manager.ObservationManager.reset,PushPop,216920,176518,1,216920.0,216920.0,216920,216920,0.0,5,5.0,1.0,0.0
IsaacLab-Sensors:isaaclab.sensors.sensor_base.SensorBase.update,PushPop,108781,30647673,49,2220.0,1569.0,1536,17889,3035.3,49,1.0,2.0,1.0
CCCL:cub::DeviceReduce::Sum,PushPop,81804,2393363,42,1947.7,1568.0,1216,17218,2418.0,42,1.0,1.9,0.0
IsaacLab-Managers:isaaclab.managers.reward_manager.RewardManager.__init__,PushPop,78088,476391,1,78088.0,78088.0,78088,78088,0.0,8,8.0,2.0,0.0
IsaacLab-Assets:isaaclab_newton.assets.articulation.articulation.Articulation.reset,PushPop,40356,44731481,1,40356.0,40356.0,40356,40356,0.0,2,2.0,2.0,2.0
