Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
32.0,9099804,240,37915.8,34787.5,34723,410508,33960.5,accumulate_particle_body_contact_force_and_hessian_f80552f3_cuda_kernel_forward
21.8,6198782,4,1549695.5,1548903.5,1545287,1555688,4392.5,create_soft_face_contacts_3a62d486_cuda_kernel_forward
17.6,5016094,240,20900.4,21138.5,18754,36356,2405.5,solve_elasticity_tile_f5ceeea2_cuda_kernel_forward
3.1,889376,4,222344.0,222344.0,222136,222552,174.3,create_soft_edge_contacts_dee9bec4_cuda_kernel_forward
2.2,634247,40,15856.2,15842.0,15777,16002,54.3,update_duals_body_particle_contacts_612d811c_cuda_kernel_forward
2.1,604962,80,7562.0,7585.0,6561,9217,936.8,accumulate_body_particle_contacts_per_body_43d37021_cuda_kernel_forward
2.1,600163,4,150040.8,150641.0,146896,151985,2240.1,create_soft_contacts_b26277c8_cuda_kernel_forward
2.1,595906,80,7448.8,7313.0,6528,9473,922.0,accumulate_body_body_contacts_per_body_6d3065a2_cuda_kernel_forward
2.0,563291,80,7041.1,7057.0,6272,8737,511.5,solve_rigid_body_28cc7a07_cuda_kernel_forward
1.5,427788,244,1753.2,1760.0,1696,1984,29.6,apply_truncation_ts_94baa11a_cuda_kernel_forward
0.8,231354,264,876.3,864.0,736,2112,153.8,"void memtile_value_kernel<int>(T1 *, T1, unsigned long long)"
0.8,222168,8,27771.0,2288.5,2176,206422,72185.9,_solve_done_c8485047_cuda_kernel_forward
0.8,215354,8,26919.3,26595.5,2401,52422,26190.7,eval_articulation_fk_6c60ba16_cuda_kernel_forward
0.6,175379,66,2657.3,2497.0,2432,3808,304.0,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>)::[lambda(char *, const char *, long long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long long, T3)"
0.4,112845,8,14105.6,17378.0,6497,18050,5082.7,_linesearch_iterative_kernel__locals__kernel_a5beb2cb_cuda_kernel_forward
0.4,103340,44,2348.6,2592.5,1216,2657,536.2,_crb_accumulate_073a11b8_cuda_kernel_forward
0.4,102604,4,25651.0,25539.0,25315,26211,388.9,_kinematics_branch_95f8028e_cuda_kernel_forward
0.4,100331,4,25082.8,25059.0,25058,25155,48.2,_harvest_vbd_body_particle_contact_forces_on_proxy_bodies_kernel_d68af8d2_cuda_kernel_forward
0.3,88234,79,1116.9,1089.0,1056,1440,60.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.3,84105,44,1911.5,1984.0,1120,2048,254.8,_cfrc_backward_72237d38_cuda_kernel_forward
0.3,83879,69,1215.6,1184.0,1152,1696,109.4,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long long) (instance 1)], std::array<char *, (unsigned long long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.3,72296,4,18074.0,18050.0,18018,18178,71.0,build_body_particle_contact_lists_8cacaa6b_cuda_kernel_forward
0.3,72040,4,18010.0,17922.0,17762,18434,310.7,create_narrow_phase_primitive_kernel__locals__narrow_phase_primitive_kernel_81a38a1a_cuda_kernel_forward
0.3,71368,48,1486.8,1472.0,1472,1536,18.7,_copy_reset_view_rows_kernel_ebbfec29_cuda_kernel_forward
0.3,71208,4,17802.0,17810.0,17666,17922,123.6,init_body_particle_contacts_3792bb31_cuda_kernel_forward
0.2,70697,44,1606.8,1632.0,1184,1697,127.2,_subtree_com_acc_350f0560_cuda_kernel_forward
0.2,69861,40,1746.5,1664.0,1664,2400,196.8,update_duals_body_body_contacts_7c780c76_cuda_kernel_forward
0.2,57733,12,4811.1,4769.0,4448,5057,173.0,_update_constraint_efc__locals__kernel_9c16a648_cuda_kernel_forward
0.2,56165,4,14041.3,14049.0,13921,14146,106.1,compute_shape_aabbs_3132aed6_cuda_kernel_forward
0.2,54023,32,1688.2,1568.0,1472,2304,245.2,_copy_reset_view_rows_kernel_a125248c_cuda_kernel_forward
0.2,52583,4,13145.8,13105.5,12706,13666,396.6,_comvel_branch_0f933c58_cuda_kernel_forward
0.2,51460,12,4288.3,4513.0,3360,5056,696.9,_update_gradient_JTDAJ_dense_tiled__locals__kernel_a05bba6c_cuda_kernel_forward
0.2,48772,12,4064.3,4032.0,3712,4448,298.0,_update_gradient_cholesky__locals__kernel_d6d4c322_cuda_kernel_forward
0.2,46567,32,1455.2,1456.5,1408,1505,29.4,_zero_reset_view_rows_kernel_0eae9346_cuda_kernel_forward
0.1,40007,12,3333.9,3472.5,3008,3521,230.3,_update_gradient_JTCJ_dense_f52c2ac2_cuda_kernel_forward
0.1,39814,24,1658.9,1568.0,1536,2208,222.8,_copy_reset_view_rows_kernel_619bffca_cuda_kernel_forward
0.1,39074,33,1184.1,1184.0,1056,1376,82.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.1,35203,4,8800.8,8721.0,8640,9121,217.3,_cacc_branch_ffe1d6c4_cuda_kernel_forward
0.1,33031,23,1436.1,1377.0,1376,2304,192.0,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,32193,8,4024.1,4016.0,3744,4289,274.2,_tile_cholesky_factorize_solve_block__locals__kernel_86a93633_cuda_kernel_forward
0.1,30530,12,2544.2,2592.0,2369,2656,108.7,mul_m_kernel__locals___mul_m_ff3bc617_cuda_kernel_forward
0.1,27843,4,6960.8,6961.0,6593,7328,313.7,forward_step_80a3fe76_cuda_kernel_forward
0.1,27266,8,3408.3,3392.0,3168,3713,236.1,_update_vbd_body_input_state_kernel_f9f4a963_cuda_kernel_forward
0.1,26242,4,6560.5,6512.5,6496,6721,108.0,_equality_joint__locals__kernel_98acb280_cuda_kernel_forward
0.1,26211,16,1638.2,1568.0,1472,1952,183.7,_copy_reset_view_rows_kernel_63c01e63_cuda_kernel_forward
0.1,25858,16,1616.1,1600.0,1472,1824,124.3,_scatter_reset_owned_rows_kernel_fe63c89c_cuda_kernel_forward
0.1,25475,12,2122.9,2112.0,2048,2240,55.2,update_actuator_state_model_1a46b940_cuda_kernel_forward
0.1,24098,16,1506.1,1504.0,1472,1536,24.7,_zero_reset_view_rows_kernel_18ddefaa_cuda_kernel_forward
0.1,24006,12,2000.5,2016.0,1888,2112,64.8,_update_constraint_init_qfrc_constraint_dense__locals__kernel_4d31aa3f_cuda_kernel_forward
0.1,22306,8,2788.3,2624.0,1952,4065,927.2,enforce_kinematic_targets_111b85c6_cuda_kernel_forward
0.1,21475,12,1789.6,1840.5,1664,1889,94.2,update_targets_acac1b6f_cuda_kernel_forward
0.1,19968,12,1664.0,1632.0,1536,1856,135.8,_update_gradient_grad__locals__kernel_230cc1c2_cuda_kernel_forward
0.1,18754,4,4688.5,4720.0,4577,4737,75.9,_actuator_force_311863ad_cuda_kernel_forward
0.1,18338,4,4584.5,4656.5,4225,4800,249.4,forward_step_rigid_bodies_f7d13c03_cuda_kernel_forward
0.1,17443,4,4360.8,4337.0,4288,4481,84.4,compute_rigid_contact_forces_f0cb57a3_cuda_kernel_forward
0.1,17026,17,1001.5,992.0,992,1056,18.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long long)2>>(int, T2, T3)"
0.1,16066,8,2008.3,1984.5,1984,2080,37.2,_copy_mapped_body_state_44500f51_cuda_kernel_forward
0.1,15970,4,3992.5,3984.5,3776,4225,204.9,update_body_velocity_3518c106_cuda_kernel_forward
0.1,15938,8,1992.3,2000.5,1856,2144,109.0,reset_rigid_state_0312466f_cuda_kernel_forward
0.1,15715,4,3928.8,3969.0,3713,4064,152.9,_transmission_1c4157e8_cuda_kernel_forward
0.1,15713,12,1309.4,1392.5,1120,1408,134.7,_update_gradient_zero_grad_dot__locals__kernel_c1c72bbd_cuda_kernel_forward
0.1,15426,12,1285.5,1312.0,1184,1344,62.2,set_conditional_if_handle_kernel
0.1,15139,8,1892.4,1888.5,1824,1985,52.8,_scatter_scalar_state_mapped_0c5e1c3c_cuda_kernel_forward
0.1,15138,4,3784.5,3760.5,3681,3936,108.5,_limit_slide_hinge__locals__kernel_f6df994e_cuda_kernel_forward
0.1,15106,11,1373.3,1345.0,1312,1473,59.9,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,14402,12,1200.2,1200.5,1184,1216,16.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_kernel_impl(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, float, float) (instance 1)], std::array<char *, (unsigned long long)4>>(int, T2, T3)"
